,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning Algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores,Feature Selection time,Fit time,Inference time per record
0,ALLAML,72,7129,bSSA,NB,100,Leave One Out,72,ACC,0.9861111111111112,"X6405,X6967,X5593,X3847,X6200,X4438,X173,X6373,X6218,X2348,X2830,X1615,X4680,X3507,X2394,X6974,X6283,X1157,X5794,X4167,X5976,X6257,X2497,X6308,X4499,X4082,X5377,X4780,X1962,X6378,X2441,X7119,X2335,X5171,X2141,X6702,X1260,X1953,X3433,X4366,X2546,X6797,X1928,X6803,X6225,X4107,X804,X922,X4951,X6806,X6201,X1909,X4894,X5501,X2015,X4328,X4973,X6539,X2020,X2833,X2111,X1829,X6185,X4211,X6005,X1630,X4229,X1725,X2592,X2363,X758,X461,X6919,X1674,X235,X3320,X5772,X874,X2642,X6376,X4847,X1144,X6281,X2128,X1745,X6041,X4196,X4373,X1685,X4377,X1779,X2121,X6855,X2288,X2402,X3252,X1834,X760,X2354,X1882","34.918831105946424,35.26933013336574,39.39603453144694,36.303902970223916,39.00047413394785,38.47053363166787,36.961694214057374,39.931924438915544,39.54933462611553,36.17781890362277,36.68762529560998,36.125414853477025,38.63763690068193,37.690519562838645,37.66600563183797,37.00303412887367,36.18591202566155,37.03731606354246,35.31848544939759,38.98412772962344,36.40450220169742,35.57830568692592,35.52467367717579,39.03865044051048,39.1966245304739,39.88670510102213,38.41818113391938,39.96626193888667,46.18299795890699,64.27827810765146,47.500943844704345,49.72487577783293,41.6870847816759,45.846106646372746,44.748819299797205,47.73327588483838,45.2712429433416,60.89538183231862,46.592109175599774,61.579685724155354,40.6506880720802,46.99278109335536,44.32872155007516,44.202556528989675,50.65732022460599,58.55226961714799,63.49034501043091,47.12904426396887,40.325361756511995,49.896115190198664,48.284425420227954,45.57856659989396,42.23893187208191,60.231613372757124,43.11638088739601,66.35449299069472,40.62909335001918,45.94178238874566,58.335507052919816,45.7491036052184,50.936181058956365,65.6873403022999,53.68407265456193,42.67497375177888,47.23837531582076,54.12845913747625,49.59517501585084,45.880793969709224,45.009444800537246,53.84596852505521,50.17308511720339,44.17370483852904,57.37643008182057,40.445966817656334,45.25023002700539,41.208110381948686,48.56791967305539,40.347688698829984,65.80647771906632,66.68869416181792,155.44717284813828,76.03460351319943,69.1860628614831,88.02818836592839,79.71142215048485,115.38083550012071,77.65117117858466,82.70750304219631,73.33931072535304,87.7332091089985,87.79353085972569,95.20954450811723,107.64248854197649,198.99833249633932,98.59404945108368,185.39391353089027,174.79853016412474,155.25021449536047,79.4395627555236,216.72365924197692",2.2334179878234863,0.002388639582528008,0.0004325409730275472
0,ALLAML,72,7129,bSSA,NB,100,Leave One Out,72,MCC,0.9700928802951526,"X6405,X6967,X5593,X3847,X6200,X4438,X173,X6373,X6218,X2348,X2830,X1615,X4680,X3507,X2394,X6974,X6283,X1157,X5794,X4167,X5976,X6257,X2497,X6308,X4499,X4082,X5377,X4780,X1962,X6378,X2441,X7119,X2335,X5171,X2141,X6702,X1260,X1953,X3433,X4366,X2546,X6797,X1928,X6803,X6225,X4107,X804,X922,X4951,X6806,X6201,X1909,X4894,X5501,X2015,X4328,X4973,X6539,X2020,X2833,X2111,X1829,X6185,X4211,X6005,X1630,X4229,X1725,X2592,X2363,X758,X461,X6919,X1674,X235,X3320,X5772,X874,X2642,X6376,X4847,X1144,X6281,X2128,X1745,X6041,X4196,X4373,X1685,X4377,X1779,X2121,X6855,X2288,X2402,X3252,X1834,X760,X2354,X1882","34.918831105946424,35.26933013336574,39.39603453144694,36.303902970223916,39.00047413394785,38.47053363166787,36.961694214057374,39.931924438915544,39.54933462611553,36.17781890362277,36.68762529560998,36.125414853477025,38.63763690068193,37.690519562838645,37.66600563183797,37.00303412887367,36.18591202566155,37.03731606354246,35.31848544939759,38.98412772962344,36.40450220169742,35.57830568692592,35.52467367717579,39.03865044051048,39.1966245304739,39.88670510102213,38.41818113391938,39.96626193888667,46.18299795890699,64.27827810765146,47.500943844704345,49.72487577783293,41.6870847816759,45.846106646372746,44.748819299797205,47.73327588483838,45.2712429433416,60.89538183231862,46.592109175599774,61.579685724155354,40.6506880720802,46.99278109335536,44.32872155007516,44.202556528989675,50.65732022460599,58.55226961714799,63.49034501043091,47.12904426396887,40.325361756511995,49.896115190198664,48.284425420227954,45.57856659989396,42.23893187208191,60.231613372757124,43.11638088739601,66.35449299069472,40.62909335001918,45.94178238874566,58.335507052919816,45.7491036052184,50.936181058956365,65.6873403022999,53.68407265456193,42.67497375177888,47.23837531582076,54.12845913747625,49.59517501585084,45.880793969709224,45.009444800537246,53.84596852505521,50.17308511720339,44.17370483852904,57.37643008182057,40.445966817656334,45.25023002700539,41.208110381948686,48.56791967305539,40.347688698829984,65.80647771906632,66.68869416181792,155.44717284813828,76.03460351319943,69.1860628614831,88.02818836592839,79.71142215048485,115.38083550012071,77.65117117858466,82.70750304219631,73.33931072535304,87.7332091089985,87.79353085972569,95.20954450811723,107.64248854197649,198.99833249633932,98.59404945108368,185.39391353089027,174.79853016412474,155.25021449536047,79.4395627555236,216.72365924197692",2.2334179878234863,0.002388639582528008,0.0004325409730275472
0,ALLAML,72,7129,bSSA,NB,100,Leave One Out,72,PR-AUC,0.9990091380250955,"X6405,X6967,X5593,X3847,X6200,X4438,X173,X6373,X6218,X2348,X2830,X1615,X4680,X3507,X2394,X6974,X6283,X1157,X5794,X4167,X5976,X6257,X2497,X6308,X4499,X4082,X5377,X4780,X1962,X6378,X2441,X7119,X2335,X5171,X2141,X6702,X1260,X1953,X3433,X4366,X2546,X6797,X1928,X6803,X6225,X4107,X804,X922,X4951,X6806,X6201,X1909,X4894,X5501,X2015,X4328,X4973,X6539,X2020,X2833,X2111,X1829,X6185,X4211,X6005,X1630,X4229,X1725,X2592,X2363,X758,X461,X6919,X1674,X235,X3320,X5772,X874,X2642,X6376,X4847,X1144,X6281,X2128,X1745,X6041,X4196,X4373,X1685,X4377,X1779,X2121,X6855,X2288,X2402,X3252,X1834,X760,X2354,X1882","34.918831105946424,35.26933013336574,39.39603453144694,36.303902970223916,39.00047413394785,38.47053363166787,36.961694214057374,39.931924438915544,39.54933462611553,36.17781890362277,36.68762529560998,36.125414853477025,38.63763690068193,37.690519562838645,37.66600563183797,37.00303412887367,36.18591202566155,37.03731606354246,35.31848544939759,38.98412772962344,36.40450220169742,35.57830568692592,35.52467367717579,39.03865044051048,39.1966245304739,39.88670510102213,38.41818113391938,39.96626193888667,46.18299795890699,64.27827810765146,47.500943844704345,49.72487577783293,41.6870847816759,45.846106646372746,44.748819299797205,47.73327588483838,45.2712429433416,60.89538183231862,46.592109175599774,61.579685724155354,40.6506880720802,46.99278109335536,44.32872155007516,44.202556528989675,50.65732022460599,58.55226961714799,63.49034501043091,47.12904426396887,40.325361756511995,49.896115190198664,48.284425420227954,45.57856659989396,42.23893187208191,60.231613372757124,43.11638088739601,66.35449299069472,40.62909335001918,45.94178238874566,58.335507052919816,45.7491036052184,50.936181058956365,65.6873403022999,53.68407265456193,42.67497375177888,47.23837531582076,54.12845913747625,49.59517501585084,45.880793969709224,45.009444800537246,53.84596852505521,50.17308511720339,44.17370483852904,57.37643008182057,40.445966817656334,45.25023002700539,41.208110381948686,48.56791967305539,40.347688698829984,65.80647771906632,66.68869416181792,155.44717284813828,76.03460351319943,69.1860628614831,88.02818836592839,79.71142215048485,115.38083550012071,77.65117117858466,82.70750304219631,73.33931072535304,87.7332091089985,87.79353085972569,95.20954450811723,107.64248854197649,198.99833249633932,98.59404945108368,185.39391353089027,174.79853016412474,155.25021449536047,79.4395627555236,216.72365924197692",2.2334179878234863,0.002388639582528008,0.0004325409730275472
0,ALLAML,72,7129,bSSA,NB,100,Leave One Out,72,AUC,0.9991489361702127,"X6405,X6967,X5593,X3847,X6200,X4438,X173,X6373,X6218,X2348,X2830,X1615,X4680,X3507,X2394,X6974,X6283,X1157,X5794,X4167,X5976,X6257,X2497,X6308,X4499,X4082,X5377,X4780,X1962,X6378,X2441,X7119,X2335,X5171,X2141,X6702,X1260,X1953,X3433,X4366,X2546,X6797,X1928,X6803,X6225,X4107,X804,X922,X4951,X6806,X6201,X1909,X4894,X5501,X2015,X4328,X4973,X6539,X2020,X2833,X2111,X1829,X6185,X4211,X6005,X1630,X4229,X1725,X2592,X2363,X758,X461,X6919,X1674,X235,X3320,X5772,X874,X2642,X6376,X4847,X1144,X6281,X2128,X1745,X6041,X4196,X4373,X1685,X4377,X1779,X2121,X6855,X2288,X2402,X3252,X1834,X760,X2354,X1882","34.918831105946424,35.26933013336574,39.39603453144694,36.303902970223916,39.00047413394785,38.47053363166787,36.961694214057374,39.931924438915544,39.54933462611553,36.17781890362277,36.68762529560998,36.125414853477025,38.63763690068193,37.690519562838645,37.66600563183797,37.00303412887367,36.18591202566155,37.03731606354246,35.31848544939759,38.98412772962344,36.40450220169742,35.57830568692592,35.52467367717579,39.03865044051048,39.1966245304739,39.88670510102213,38.41818113391938,39.96626193888667,46.18299795890699,64.27827810765146,47.500943844704345,49.72487577783293,41.6870847816759,45.846106646372746,44.748819299797205,47.73327588483838,45.2712429433416,60.89538183231862,46.592109175599774,61.579685724155354,40.6506880720802,46.99278109335536,44.32872155007516,44.202556528989675,50.65732022460599,58.55226961714799,63.49034501043091,47.12904426396887,40.325361756511995,49.896115190198664,48.284425420227954,45.57856659989396,42.23893187208191,60.231613372757124,43.11638088739601,66.35449299069472,40.62909335001918,45.94178238874566,58.335507052919816,45.7491036052184,50.936181058956365,65.6873403022999,53.68407265456193,42.67497375177888,47.23837531582076,54.12845913747625,49.59517501585084,45.880793969709224,45.009444800537246,53.84596852505521,50.17308511720339,44.17370483852904,57.37643008182057,40.445966817656334,45.25023002700539,41.208110381948686,48.56791967305539,40.347688698829984,65.80647771906632,66.68869416181792,155.44717284813828,76.03460351319943,69.1860628614831,88.02818836592839,79.71142215048485,115.38083550012071,77.65117117858466,82.70750304219631,73.33931072535304,87.7332091089985,87.79353085972569,95.20954450811723,107.64248854197649,198.99833249633932,98.59404945108368,185.39391353089027,174.79853016412474,155.25021449536047,79.4395627555236,216.72365924197692",2.2334179878234863,0.002388639582528008,0.0004325409730275472
0,ALLAML,72,7129,bSSA,SVM,100,Leave One Out,72,ACC,0.9861111111111112,"X6405,X6967,X5593,X3847,X6200,X4438,X173,X6373,X6218,X2348,X2830,X1615,X4680,X3507,X2394,X6974,X6283,X1157,X5794,X4167,X5976,X6257,X2497,X6308,X4499,X4082,X5377,X4780,X1962,X6378,X2441,X7119,X2335,X5171,X2141,X6702,X1260,X1953,X3433,X4366,X2546,X6797,X1928,X6803,X6225,X4107,X804,X922,X4951,X6806,X6201,X1909,X4894,X5501,X2015,X4328,X4973,X6539,X2020,X2833,X2111,X1829,X6185,X4211,X6005,X1630,X4229,X1725,X2592,X2363,X758,X461,X6919,X1674,X235,X3320,X5772,X874,X2642,X6376,X4847,X1144,X6281,X2128,X1745,X6041,X4196,X4373,X1685,X4377,X1779,X2121,X6855,X2288,X2402,X3252,X1834,X760,X2354,X1882","34.918831105946424,35.26933013336574,39.39603453144694,36.303902970223916,39.00047413394785,38.47053363166787,36.961694214057374,39.931924438915544,39.54933462611553,36.17781890362277,36.68762529560998,36.125414853477025,38.63763690068193,37.690519562838645,37.66600563183797,37.00303412887367,36.18591202566155,37.03731606354246,35.31848544939759,38.98412772962344,36.40450220169742,35.57830568692592,35.52467367717579,39.03865044051048,39.1966245304739,39.88670510102213,38.41818113391938,39.96626193888667,46.18299795890699,64.27827810765146,47.500943844704345,49.72487577783293,41.6870847816759,45.846106646372746,44.748819299797205,47.73327588483838,45.2712429433416,60.89538183231862,46.592109175599774,61.579685724155354,40.6506880720802,46.99278109335536,44.32872155007516,44.202556528989675,50.65732022460599,58.55226961714799,63.49034501043091,47.12904426396887,40.325361756511995,49.896115190198664,48.284425420227954,45.57856659989396,42.23893187208191,60.231613372757124,43.11638088739601,66.35449299069472,40.62909335001918,45.94178238874566,58.335507052919816,45.7491036052184,50.936181058956365,65.6873403022999,53.68407265456193,42.67497375177888,47.23837531582076,54.12845913747625,49.59517501585084,45.880793969709224,45.009444800537246,53.84596852505521,50.17308511720339,44.17370483852904,57.37643008182057,40.445966817656334,45.25023002700539,41.208110381948686,48.56791967305539,40.347688698829984,65.80647771906632,66.68869416181792,155.44717284813828,76.03460351319943,69.1860628614831,88.02818836592839,79.71142215048485,115.38083550012071,77.65117117858466,82.70750304219631,73.33931072535304,87.7332091089985,87.79353085972569,95.20954450811723,107.64248854197649,198.99833249633932,98.59404945108368,185.39391353089027,174.79853016412474,155.25021449536047,79.4395627555236,216.72365924197692",2.2334179878234863,0.0023872223165300158,0.00043386883205837675
0,ALLAML,72,7129,bSSA,SVM,100,Leave One Out,72,MCC,0.9695359714832659,"X6405,X6967,X5593,X3847,X6200,X4438,X173,X6373,X6218,X2348,X2830,X1615,X4680,X3507,X2394,X6974,X6283,X1157,X5794,X4167,X5976,X6257,X2497,X6308,X4499,X4082,X5377,X4780,X1962,X6378,X2441,X7119,X2335,X5171,X2141,X6702,X1260,X1953,X3433,X4366,X2546,X6797,X1928,X6803,X6225,X4107,X804,X922,X4951,X6806,X6201,X1909,X4894,X5501,X2015,X4328,X4973,X6539,X2020,X2833,X2111,X1829,X6185,X4211,X6005,X1630,X4229,X1725,X2592,X2363,X758,X461,X6919,X1674,X235,X3320,X5772,X874,X2642,X6376,X4847,X1144,X6281,X2128,X1745,X6041,X4196,X4373,X1685,X4377,X1779,X2121,X6855,X2288,X2402,X3252,X1834,X760,X2354,X1882","34.918831105946424,35.26933013336574,39.39603453144694,36.303902970223916,39.00047413394785,38.47053363166787,36.961694214057374,39.931924438915544,39.54933462611553,36.17781890362277,36.68762529560998,36.125414853477025,38.63763690068193,37.690519562838645,37.66600563183797,37.00303412887367,36.18591202566155,37.03731606354246,35.31848544939759,38.98412772962344,36.40450220169742,35.57830568692592,35.52467367717579,39.03865044051048,39.1966245304739,39.88670510102213,38.41818113391938,39.96626193888667,46.18299795890699,64.27827810765146,47.500943844704345,49.72487577783293,41.6870847816759,45.846106646372746,44.748819299797205,47.73327588483838,45.2712429433416,60.89538183231862,46.592109175599774,61.579685724155354,40.6506880720802,46.99278109335536,44.32872155007516,44.202556528989675,50.65732022460599,58.55226961714799,63.49034501043091,47.12904426396887,40.325361756511995,49.896115190198664,48.284425420227954,45.57856659989396,42.23893187208191,60.231613372757124,43.11638088739601,66.35449299069472,40.62909335001918,45.94178238874566,58.335507052919816,45.7491036052184,50.936181058956365,65.6873403022999,53.68407265456193,42.67497375177888,47.23837531582076,54.12845913747625,49.59517501585084,45.880793969709224,45.009444800537246,53.84596852505521,50.17308511720339,44.17370483852904,57.37643008182057,40.445966817656334,45.25023002700539,41.208110381948686,48.56791967305539,40.347688698829984,65.80647771906632,66.68869416181792,155.44717284813828,76.03460351319943,69.1860628614831,88.02818836592839,79.71142215048485,115.38083550012071,77.65117117858466,82.70750304219631,73.33931072535304,87.7332091089985,87.79353085972569,95.20954450811723,107.64248854197649,198.99833249633932,98.59404945108368,185.39391353089027,174.79853016412474,155.25021449536047,79.4395627555236,216.72365924197692",2.2334179878234863,0.0023872223165300158,0.00043386883205837675
0,ALLAML,72,7129,bSSA,SVM,100,Leave One Out,72,PR-AUC,0.997177897543177,"X6405,X6967,X5593,X3847,X6200,X4438,X173,X6373,X6218,X2348,X2830,X1615,X4680,X3507,X2394,X6974,X6283,X1157,X5794,X4167,X5976,X6257,X2497,X6308,X4499,X4082,X5377,X4780,X1962,X6378,X2441,X7119,X2335,X5171,X2141,X6702,X1260,X1953,X3433,X4366,X2546,X6797,X1928,X6803,X6225,X4107,X804,X922,X4951,X6806,X6201,X1909,X4894,X5501,X2015,X4328,X4973,X6539,X2020,X2833,X2111,X1829,X6185,X4211,X6005,X1630,X4229,X1725,X2592,X2363,X758,X461,X6919,X1674,X235,X3320,X5772,X874,X2642,X6376,X4847,X1144,X6281,X2128,X1745,X6041,X4196,X4373,X1685,X4377,X1779,X2121,X6855,X2288,X2402,X3252,X1834,X760,X2354,X1882","34.918831105946424,35.26933013336574,39.39603453144694,36.303902970223916,39.00047413394785,38.47053363166787,36.961694214057374,39.931924438915544,39.54933462611553,36.17781890362277,36.68762529560998,36.125414853477025,38.63763690068193,37.690519562838645,37.66600563183797,37.00303412887367,36.18591202566155,37.03731606354246,35.31848544939759,38.98412772962344,36.40450220169742,35.57830568692592,35.52467367717579,39.03865044051048,39.1966245304739,39.88670510102213,38.41818113391938,39.96626193888667,46.18299795890699,64.27827810765146,47.500943844704345,49.72487577783293,41.6870847816759,45.846106646372746,44.748819299797205,47.73327588483838,45.2712429433416,60.89538183231862,46.592109175599774,61.579685724155354,40.6506880720802,46.99278109335536,44.32872155007516,44.202556528989675,50.65732022460599,58.55226961714799,63.49034501043091,47.12904426396887,40.325361756511995,49.896115190198664,48.284425420227954,45.57856659989396,42.23893187208191,60.231613372757124,43.11638088739601,66.35449299069472,40.62909335001918,45.94178238874566,58.335507052919816,45.7491036052184,50.936181058956365,65.6873403022999,53.68407265456193,42.67497375177888,47.23837531582076,54.12845913747625,49.59517501585084,45.880793969709224,45.009444800537246,53.84596852505521,50.17308511720339,44.17370483852904,57.37643008182057,40.445966817656334,45.25023002700539,41.208110381948686,48.56791967305539,40.347688698829984,65.80647771906632,66.68869416181792,155.44717284813828,76.03460351319943,69.1860628614831,88.02818836592839,79.71142215048485,115.38083550012071,77.65117117858466,82.70750304219631,73.33931072535304,87.7332091089985,87.79353085972569,95.20954450811723,107.64248854197649,198.99833249633932,98.59404945108368,185.39391353089027,174.79853016412474,155.25021449536047,79.4395627555236,216.72365924197692",2.2334179878234863,0.0023872223165300158,0.00043386883205837675
0,ALLAML,72,7129,bSSA,SVM,100,Leave One Out,72,AUC,0.9974468085106383,"X6405,X6967,X5593,X3847,X6200,X4438,X173,X6373,X6218,X2348,X2830,X1615,X4680,X3507,X2394,X6974,X6283,X1157,X5794,X4167,X5976,X6257,X2497,X6308,X4499,X4082,X5377,X4780,X1962,X6378,X2441,X7119,X2335,X5171,X2141,X6702,X1260,X1953,X3433,X4366,X2546,X6797,X1928,X6803,X6225,X4107,X804,X922,X4951,X6806,X6201,X1909,X4894,X5501,X2015,X4328,X4973,X6539,X2020,X2833,X2111,X1829,X6185,X4211,X6005,X1630,X4229,X1725,X2592,X2363,X758,X461,X6919,X1674,X235,X3320,X5772,X874,X2642,X6376,X4847,X1144,X6281,X2128,X1745,X6041,X4196,X4373,X1685,X4377,X1779,X2121,X6855,X2288,X2402,X3252,X1834,X760,X2354,X1882","34.918831105946424,35.26933013336574,39.39603453144694,36.303902970223916,39.00047413394785,38.47053363166787,36.961694214057374,39.931924438915544,39.54933462611553,36.17781890362277,36.68762529560998,36.125414853477025,38.63763690068193,37.690519562838645,37.66600563183797,37.00303412887367,36.18591202566155,37.03731606354246,35.31848544939759,38.98412772962344,36.40450220169742,35.57830568692592,35.52467367717579,39.03865044051048,39.1966245304739,39.88670510102213,38.41818113391938,39.96626193888667,46.18299795890699,64.27827810765146,47.500943844704345,49.72487577783293,41.6870847816759,45.846106646372746,44.748819299797205,47.73327588483838,45.2712429433416,60.89538183231862,46.592109175599774,61.579685724155354,40.6506880720802,46.99278109335536,44.32872155007516,44.202556528989675,50.65732022460599,58.55226961714799,63.49034501043091,47.12904426396887,40.325361756511995,49.896115190198664,48.284425420227954,45.57856659989396,42.23893187208191,60.231613372757124,43.11638088739601,66.35449299069472,40.62909335001918,45.94178238874566,58.335507052919816,45.7491036052184,50.936181058956365,65.6873403022999,53.68407265456193,42.67497375177888,47.23837531582076,54.12845913747625,49.59517501585084,45.880793969709224,45.009444800537246,53.84596852505521,50.17308511720339,44.17370483852904,57.37643008182057,40.445966817656334,45.25023002700539,41.208110381948686,48.56791967305539,40.347688698829984,65.80647771906632,66.68869416181792,155.44717284813828,76.03460351319943,69.1860628614831,88.02818836592839,79.71142215048485,115.38083550012071,77.65117117858466,82.70750304219631,73.33931072535304,87.7332091089985,87.79353085972569,95.20954450811723,107.64248854197649,198.99833249633932,98.59404945108368,185.39391353089027,174.79853016412474,155.25021449536047,79.4395627555236,216.72365924197692",2.2334179878234863,0.0023872223165300158,0.00043386883205837675
0,ALLAML,72,7129,bSSA,LogisticsRegression,100,Leave One Out,72,ACC,0.9861111111111112,"X6405,X6967,X5593,X3847,X6200,X4438,X173,X6373,X6218,X2348,X2830,X1615,X4680,X3507,X2394,X6974,X6283,X1157,X5794,X4167,X5976,X6257,X2497,X6308,X4499,X4082,X5377,X4780,X1962,X6378,X2441,X7119,X2335,X5171,X2141,X6702,X1260,X1953,X3433,X4366,X2546,X6797,X1928,X6803,X6225,X4107,X804,X922,X4951,X6806,X6201,X1909,X4894,X5501,X2015,X4328,X4973,X6539,X2020,X2833,X2111,X1829,X6185,X4211,X6005,X1630,X4229,X1725,X2592,X2363,X758,X461,X6919,X1674,X235,X3320,X5772,X874,X2642,X6376,X4847,X1144,X6281,X2128,X1745,X6041,X4196,X4373,X1685,X4377,X1779,X2121,X6855,X2288,X2402,X3252,X1834,X760,X2354,X1882","34.918831105946424,35.26933013336574,39.39603453144694,36.303902970223916,39.00047413394785,38.47053363166787,36.961694214057374,39.931924438915544,39.54933462611553,36.17781890362277,36.68762529560998,36.125414853477025,38.63763690068193,37.690519562838645,37.66600563183797,37.00303412887367,36.18591202566155,37.03731606354246,35.31848544939759,38.98412772962344,36.40450220169742,35.57830568692592,35.52467367717579,39.03865044051048,39.1966245304739,39.88670510102213,38.41818113391938,39.96626193888667,46.18299795890699,64.27827810765146,47.500943844704345,49.72487577783293,41.6870847816759,45.846106646372746,44.748819299797205,47.73327588483838,45.2712429433416,60.89538183231862,46.592109175599774,61.579685724155354,40.6506880720802,46.99278109335536,44.32872155007516,44.202556528989675,50.65732022460599,58.55226961714799,63.49034501043091,47.12904426396887,40.325361756511995,49.896115190198664,48.284425420227954,45.57856659989396,42.23893187208191,60.231613372757124,43.11638088739601,66.35449299069472,40.62909335001918,45.94178238874566,58.335507052919816,45.7491036052184,50.936181058956365,65.6873403022999,53.68407265456193,42.67497375177888,47.23837531582076,54.12845913747625,49.59517501585084,45.880793969709224,45.009444800537246,53.84596852505521,50.17308511720339,44.17370483852904,57.37643008182057,40.445966817656334,45.25023002700539,41.208110381948686,48.56791967305539,40.347688698829984,65.80647771906632,66.68869416181792,155.44717284813828,76.03460351319943,69.1860628614831,88.02818836592839,79.71142215048485,115.38083550012071,77.65117117858466,82.70750304219631,73.33931072535304,87.7332091089985,87.79353085972569,95.20954450811723,107.64248854197649,198.99833249633932,98.59404945108368,185.39391353089027,174.79853016412474,155.25021449536047,79.4395627555236,216.72365924197692",2.2334179878234863,0.008463667498694526,0.0
0,ALLAML,72,7129,bSSA,LogisticsRegression,100,Leave One Out,72,MCC,0.9695359714832659,"X6405,X6967,X5593,X3847,X6200,X4438,X173,X6373,X6218,X2348,X2830,X1615,X4680,X3507,X2394,X6974,X6283,X1157,X5794,X4167,X5976,X6257,X2497,X6308,X4499,X4082,X5377,X4780,X1962,X6378,X2441,X7119,X2335,X5171,X2141,X6702,X1260,X1953,X3433,X4366,X2546,X6797,X1928,X6803,X6225,X4107,X804,X922,X4951,X6806,X6201,X1909,X4894,X5501,X2015,X4328,X4973,X6539,X2020,X2833,X2111,X1829,X6185,X4211,X6005,X1630,X4229,X1725,X2592,X2363,X758,X461,X6919,X1674,X235,X3320,X5772,X874,X2642,X6376,X4847,X1144,X6281,X2128,X1745,X6041,X4196,X4373,X1685,X4377,X1779,X2121,X6855,X2288,X2402,X3252,X1834,X760,X2354,X1882","34.918831105946424,35.26933013336574,39.39603453144694,36.303902970223916,39.00047413394785,38.47053363166787,36.961694214057374,39.931924438915544,39.54933462611553,36.17781890362277,36.68762529560998,36.125414853477025,38.63763690068193,37.690519562838645,37.66600563183797,37.00303412887367,36.18591202566155,37.03731606354246,35.31848544939759,38.98412772962344,36.40450220169742,35.57830568692592,35.52467367717579,39.03865044051048,39.1966245304739,39.88670510102213,38.41818113391938,39.96626193888667,46.18299795890699,64.27827810765146,47.500943844704345,49.72487577783293,41.6870847816759,45.846106646372746,44.748819299797205,47.73327588483838,45.2712429433416,60.89538183231862,46.592109175599774,61.579685724155354,40.6506880720802,46.99278109335536,44.32872155007516,44.202556528989675,50.65732022460599,58.55226961714799,63.49034501043091,47.12904426396887,40.325361756511995,49.896115190198664,48.284425420227954,45.57856659989396,42.23893187208191,60.231613372757124,43.11638088739601,66.35449299069472,40.62909335001918,45.94178238874566,58.335507052919816,45.7491036052184,50.936181058956365,65.6873403022999,53.68407265456193,42.67497375177888,47.23837531582076,54.12845913747625,49.59517501585084,45.880793969709224,45.009444800537246,53.84596852505521,50.17308511720339,44.17370483852904,57.37643008182057,40.445966817656334,45.25023002700539,41.208110381948686,48.56791967305539,40.347688698829984,65.80647771906632,66.68869416181792,155.44717284813828,76.03460351319943,69.1860628614831,88.02818836592839,79.71142215048485,115.38083550012071,77.65117117858466,82.70750304219631,73.33931072535304,87.7332091089985,87.79353085972569,95.20954450811723,107.64248854197649,198.99833249633932,98.59404945108368,185.39391353089027,174.79853016412474,155.25021449536047,79.4395627555236,216.72365924197692",2.2334179878234863,0.008463667498694526,0.0
