,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning Algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores,Feature Selection time,Fit time,Inference time per record
0,BASEHOCK,1993,4862,bSSA,NB,100,5Fold,5,ACC,0.37982940291018563,"X1540,X1525,X1528,X1527,X1537,X1597,X1539,X1556,X1541,X1542,X1543,X1544,X1545,X1546,X1547,X1548,X1549,X1550,X1551,X1552,X1553,X1554,X1555,X1594,X1522,X1596,X1670,X1598,X1599,X1600,X1601,X1602,X1603,X1604,X1605,X1606,X1607,X1608,X1609,X1610,X1611,X1612,X1613,X1614,X1615,X1616,X1617,X1618,X1619,X1620,X1621,X1622,X1623,X1624,X1625,X1626,X1627,X1628,X1629,X1630,X1631,X1632,X1633,X1634,X1635,X1636,X1637,X1638,X1639,X1640,X1641,X1642,X1643,X1644,X1645,X1646,X1647,X1648,X1649,X1650,X1651,X1652,X1653,X1654,X1655,X1656,X1657,X1658,X1659,X1660,X1661,X1662,X1663,X1664,X1665,X1666,X1667,X1668,X1669,X4862","575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485",53.098005056381226,0.009372282028198241,0.0
0,BASEHOCK,1993,4862,bSSA,NB,100,5Fold,5,MCC,-0.24148054394687332,"X1540,X1525,X1528,X1527,X1537,X1597,X1539,X1556,X1541,X1542,X1543,X1544,X1545,X1546,X1547,X1548,X1549,X1550,X1551,X1552,X1553,X1554,X1555,X1594,X1522,X1596,X1670,X1598,X1599,X1600,X1601,X1602,X1603,X1604,X1605,X1606,X1607,X1608,X1609,X1610,X1611,X1612,X1613,X1614,X1615,X1616,X1617,X1618,X1619,X1620,X1621,X1622,X1623,X1624,X1625,X1626,X1627,X1628,X1629,X1630,X1631,X1632,X1633,X1634,X1635,X1636,X1637,X1638,X1639,X1640,X1641,X1642,X1643,X1644,X1645,X1646,X1647,X1648,X1649,X1650,X1651,X1652,X1653,X1654,X1655,X1656,X1657,X1658,X1659,X1660,X1661,X1662,X1663,X1664,X1665,X1666,X1667,X1668,X1669,X4862","575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485",53.098005056381226,0.009372282028198241,0.0
0,BASEHOCK,1993,4862,bSSA,NB,100,5Fold,5,PR-AUC,0.5961131958043933,"X1540,X1525,X1528,X1527,X1537,X1597,X1539,X1556,X1541,X1542,X1543,X1544,X1545,X1546,X1547,X1548,X1549,X1550,X1551,X1552,X1553,X1554,X1555,X1594,X1522,X1596,X1670,X1598,X1599,X1600,X1601,X1602,X1603,X1604,X1605,X1606,X1607,X1608,X1609,X1610,X1611,X1612,X1613,X1614,X1615,X1616,X1617,X1618,X1619,X1620,X1621,X1622,X1623,X1624,X1625,X1626,X1627,X1628,X1629,X1630,X1631,X1632,X1633,X1634,X1635,X1636,X1637,X1638,X1639,X1640,X1641,X1642,X1643,X1644,X1645,X1646,X1647,X1648,X1649,X1650,X1651,X1652,X1653,X1654,X1655,X1656,X1657,X1658,X1659,X1660,X1661,X1662,X1663,X1664,X1665,X1666,X1667,X1668,X1669,X4862","575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485",53.098005056381226,0.009372282028198241,0.0
0,BASEHOCK,1993,4862,bSSA,NB,100,5Fold,5,AUC,0.46887531394573645,"X1540,X1525,X1528,X1527,X1537,X1597,X1539,X1556,X1541,X1542,X1543,X1544,X1545,X1546,X1547,X1548,X1549,X1550,X1551,X1552,X1553,X1554,X1555,X1594,X1522,X1596,X1670,X1598,X1599,X1600,X1601,X1602,X1603,X1604,X1605,X1606,X1607,X1608,X1609,X1610,X1611,X1612,X1613,X1614,X1615,X1616,X1617,X1618,X1619,X1620,X1621,X1622,X1623,X1624,X1625,X1626,X1627,X1628,X1629,X1630,X1631,X1632,X1633,X1634,X1635,X1636,X1637,X1638,X1639,X1640,X1641,X1642,X1643,X1644,X1645,X1646,X1647,X1648,X1649,X1650,X1651,X1652,X1653,X1654,X1655,X1656,X1657,X1658,X1659,X1660,X1661,X1662,X1663,X1664,X1665,X1666,X1667,X1668,X1669,X4862","575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485",53.098005056381226,0.009372282028198241,0.0
0,BASEHOCK,1993,4862,bSSA,SVM,100,5Fold,5,ACC,0.403411941796287,"X1540,X1525,X1528,X1527,X1537,X1597,X1539,X1556,X1541,X1542,X1543,X1544,X1545,X1546,X1547,X1548,X1549,X1550,X1551,X1552,X1553,X1554,X1555,X1594,X1522,X1596,X1670,X1598,X1599,X1600,X1601,X1602,X1603,X1604,X1605,X1606,X1607,X1608,X1609,X1610,X1611,X1612,X1613,X1614,X1615,X1616,X1617,X1618,X1619,X1620,X1621,X1622,X1623,X1624,X1625,X1626,X1627,X1628,X1629,X1630,X1631,X1632,X1633,X1634,X1635,X1636,X1637,X1638,X1639,X1640,X1641,X1642,X1643,X1644,X1645,X1646,X1647,X1648,X1649,X1650,X1651,X1652,X1653,X1654,X1655,X1656,X1657,X1658,X1659,X1660,X1661,X1662,X1663,X1664,X1665,X1666,X1667,X1668,X1669,X4862","575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485",53.098005056381226,1.133038377761841,0.0002351583358756577
0,BASEHOCK,1993,4862,bSSA,SVM,100,5Fold,5,MCC,-0.19325748286077718,"X1540,X1525,X1528,X1527,X1537,X1597,X1539,X1556,X1541,X1542,X1543,X1544,X1545,X1546,X1547,X1548,X1549,X1550,X1551,X1552,X1553,X1554,X1555,X1594,X1522,X1596,X1670,X1598,X1599,X1600,X1601,X1602,X1603,X1604,X1605,X1606,X1607,X1608,X1609,X1610,X1611,X1612,X1613,X1614,X1615,X1616,X1617,X1618,X1619,X1620,X1621,X1622,X1623,X1624,X1625,X1626,X1627,X1628,X1629,X1630,X1631,X1632,X1633,X1634,X1635,X1636,X1637,X1638,X1639,X1640,X1641,X1642,X1643,X1644,X1645,X1646,X1647,X1648,X1649,X1650,X1651,X1652,X1653,X1654,X1655,X1656,X1657,X1658,X1659,X1660,X1661,X1662,X1663,X1664,X1665,X1666,X1667,X1668,X1669,X4862","575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485",53.098005056381226,1.133038377761841,0.0002351583358756577
0,BASEHOCK,1993,4862,bSSA,SVM,100,5Fold,5,PR-AUC,0.5475344036680239,"X1540,X1525,X1528,X1527,X1537,X1597,X1539,X1556,X1541,X1542,X1543,X1544,X1545,X1546,X1547,X1548,X1549,X1550,X1551,X1552,X1553,X1554,X1555,X1594,X1522,X1596,X1670,X1598,X1599,X1600,X1601,X1602,X1603,X1604,X1605,X1606,X1607,X1608,X1609,X1610,X1611,X1612,X1613,X1614,X1615,X1616,X1617,X1618,X1619,X1620,X1621,X1622,X1623,X1624,X1625,X1626,X1627,X1628,X1629,X1630,X1631,X1632,X1633,X1634,X1635,X1636,X1637,X1638,X1639,X1640,X1641,X1642,X1643,X1644,X1645,X1646,X1647,X1648,X1649,X1650,X1651,X1652,X1653,X1654,X1655,X1656,X1657,X1658,X1659,X1660,X1661,X1662,X1663,X1664,X1665,X1666,X1667,X1668,X1669,X4862","575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485",53.098005056381226,1.133038377761841,0.0002351583358756577
0,BASEHOCK,1993,4862,bSSA,SVM,100,5Fold,5,AUC,0.41702819519720935,"X1540,X1525,X1528,X1527,X1537,X1597,X1539,X1556,X1541,X1542,X1543,X1544,X1545,X1546,X1547,X1548,X1549,X1550,X1551,X1552,X1553,X1554,X1555,X1594,X1522,X1596,X1670,X1598,X1599,X1600,X1601,X1602,X1603,X1604,X1605,X1606,X1607,X1608,X1609,X1610,X1611,X1612,X1613,X1614,X1615,X1616,X1617,X1618,X1619,X1620,X1621,X1622,X1623,X1624,X1625,X1626,X1627,X1628,X1629,X1630,X1631,X1632,X1633,X1634,X1635,X1636,X1637,X1638,X1639,X1640,X1641,X1642,X1643,X1644,X1645,X1646,X1647,X1648,X1649,X1650,X1651,X1652,X1653,X1654,X1655,X1656,X1657,X1658,X1659,X1660,X1661,X1662,X1663,X1664,X1665,X1666,X1667,X1668,X1669,X4862","575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485",53.098005056381226,1.133038377761841,0.0002351583358756577
0,BASEHOCK,1993,4862,bSSA,LogisticsRegression,100,5Fold,5,ACC,0.39086803813346715,"X1540,X1525,X1528,X1527,X1537,X1597,X1539,X1556,X1541,X1542,X1543,X1544,X1545,X1546,X1547,X1548,X1549,X1550,X1551,X1552,X1553,X1554,X1555,X1594,X1522,X1596,X1670,X1598,X1599,X1600,X1601,X1602,X1603,X1604,X1605,X1606,X1607,X1608,X1609,X1610,X1611,X1612,X1613,X1614,X1615,X1616,X1617,X1618,X1619,X1620,X1621,X1622,X1623,X1624,X1625,X1626,X1627,X1628,X1629,X1630,X1631,X1632,X1633,X1634,X1635,X1636,X1637,X1638,X1639,X1640,X1641,X1642,X1643,X1644,X1645,X1646,X1647,X1648,X1649,X1650,X1651,X1652,X1653,X1654,X1655,X1656,X1657,X1658,X1659,X1660,X1661,X1662,X1663,X1664,X1665,X1666,X1667,X1668,X1669,X4862","575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485",53.098005056381226,0.08953318595886231,0.0
0,BASEHOCK,1993,4862,bSSA,LogisticsRegression,100,5Fold,5,MCC,-0.21870315287772715,"X1540,X1525,X1528,X1527,X1537,X1597,X1539,X1556,X1541,X1542,X1543,X1544,X1545,X1546,X1547,X1548,X1549,X1550,X1551,X1552,X1553,X1554,X1555,X1594,X1522,X1596,X1670,X1598,X1599,X1600,X1601,X1602,X1603,X1604,X1605,X1606,X1607,X1608,X1609,X1610,X1611,X1612,X1613,X1614,X1615,X1616,X1617,X1618,X1619,X1620,X1621,X1622,X1623,X1624,X1625,X1626,X1627,X1628,X1629,X1630,X1631,X1632,X1633,X1634,X1635,X1636,X1637,X1638,X1639,X1640,X1641,X1642,X1643,X1644,X1645,X1646,X1647,X1648,X1649,X1650,X1651,X1652,X1653,X1654,X1655,X1656,X1657,X1658,X1659,X1660,X1661,X1662,X1663,X1664,X1665,X1666,X1667,X1668,X1669,X4862","575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485,575.900247774485",53.098005056381226,0.08953318595886231,0.0
