,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning Algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores,Feature Selection time,Fit time,Inference time per record
0,GLIOMA,50,4434,bSSA,NB,100,Leave PairOut,1225,ACC,0.610204081632653,"X1224,X2597,X3986,X857,X3307,X820,X994,X2669,X3555,X524,X544,X2733,X371,X2500,X2852,X1647,X3400,X678,X832,X601,X1979,X119,X1291,X125,X2547,X1382,X2873,X740,X739,X2428,X394,X3993,X3563,X2859,X730,X4370,X203,X1455,X90,X2975,X86,X1504,X4031,X3485,X1533,X1542,X629,X2332,X3013,X4282,X71,X3449,X4387,X248,X3713,X620,X2651,X3443,X603,X4266,X58,X57,X3408,X3734,X1143,X3045,X3749,X278,X555,X3075,X4241,X3385,X2128,X2120,X313,X1743,X1776,X3338,X1789,X3312,X3300,X2060,X37,X3276,X368,X4420,X1871,X4422,X4423,X4424,X4425,X4426,X3846,X1897,X3844,X2744,X2767,X1908,X4183,X4434","29.04717924120493,29.05441467959402,29.078216764037283,29.115032455782462,29.11482159029383,29.136568475116803,29.568619572784048,30.091423273367866,29.703610911066864,29.993706336748946,30.15885342296316,29.74115131989317,29.331234620498467,29.17089061848092,30.074957880552656,29.50426264526283,30.16467618455696,29.479953584873073,29.56436883519363,30.156596295993648,30.20143021882763,51.413705453534895,31.499645515859136,34.904300750465275,30.567627850724293,39.13835728622394,38.8138135185288,41.848637570984074,48.26453413078629,32.9926343554904,33.372937680543224,30.52690886699431,45.728440452094645,32.262911068820905,38.70080792767091,43.21840792594543,34.62835917719939,33.594167822705735,57.039050913350295,31.355001952711056,31.114689844057168,32.64580764519537,49.9324329521265,36.6898910773765,33.81527291745514,32.09044314693279,39.130057908040726,50.74118293457144,37.14325798118808,32.31085789619006,32.36100019427556,34.25257517216939,30.285430418587524,34.79000563624087,30.522218797835066,32.22349326123283,44.15696250375445,43.660582753186574,33.657441687198,33.55922143253718,31.982012730042822,31.987607770896325,34.938857668407444,41.63309486779043,46.11453880578675,32.631933763386954,43.16398700051857,33.98142559212709,61.76309911629682,37.09470311285057,37.999099477319376,32.43447547788412,40.98469450390361,43.313677918547896,33.33327998076461,34.95165513756566,33.98911117211367,32.95854629223539,35.8079235321782,31.33654046568087,32.21174565627565,30.835594916853466,31.604968814955384,31.750155484698027,30.333749511967603,82.97932448292376,123.50658181113639,31.61319017736044,63.128416358078276,62.43435407317494,35.715270951500585,34.5910443300831,30.4339088687167,33.15982510558926,65.04644907337438,30.464803064555223,45.9369393402046,39.49791400732751,38.238603223965235,33.92402229215487",1.4531660079956055,0.0020504846378248567,0.00025286217125094666
0,GLIOMA,50,4434,bSSA,NB,100,Leave PairOut,1225,MCC,0.4671689710411868,"X1224,X2597,X3986,X857,X3307,X820,X994,X2669,X3555,X524,X544,X2733,X371,X2500,X2852,X1647,X3400,X678,X832,X601,X1979,X119,X1291,X125,X2547,X1382,X2873,X740,X739,X2428,X394,X3993,X3563,X2859,X730,X4370,X203,X1455,X90,X2975,X86,X1504,X4031,X3485,X1533,X1542,X629,X2332,X3013,X4282,X71,X3449,X4387,X248,X3713,X620,X2651,X3443,X603,X4266,X58,X57,X3408,X3734,X1143,X3045,X3749,X278,X555,X3075,X4241,X3385,X2128,X2120,X313,X1743,X1776,X3338,X1789,X3312,X3300,X2060,X37,X3276,X368,X4420,X1871,X4422,X4423,X4424,X4425,X4426,X3846,X1897,X3844,X2744,X2767,X1908,X4183,X4434","29.04717924120493,29.05441467959402,29.078216764037283,29.115032455782462,29.11482159029383,29.136568475116803,29.568619572784048,30.091423273367866,29.703610911066864,29.993706336748946,30.15885342296316,29.74115131989317,29.331234620498467,29.17089061848092,30.074957880552656,29.50426264526283,30.16467618455696,29.479953584873073,29.56436883519363,30.156596295993648,30.20143021882763,51.413705453534895,31.499645515859136,34.904300750465275,30.567627850724293,39.13835728622394,38.8138135185288,41.848637570984074,48.26453413078629,32.9926343554904,33.372937680543224,30.52690886699431,45.728440452094645,32.262911068820905,38.70080792767091,43.21840792594543,34.62835917719939,33.594167822705735,57.039050913350295,31.355001952711056,31.114689844057168,32.64580764519537,49.9324329521265,36.6898910773765,33.81527291745514,32.09044314693279,39.130057908040726,50.74118293457144,37.14325798118808,32.31085789619006,32.36100019427556,34.25257517216939,30.285430418587524,34.79000563624087,30.522218797835066,32.22349326123283,44.15696250375445,43.660582753186574,33.657441687198,33.55922143253718,31.982012730042822,31.987607770896325,34.938857668407444,41.63309486779043,46.11453880578675,32.631933763386954,43.16398700051857,33.98142559212709,61.76309911629682,37.09470311285057,37.999099477319376,32.43447547788412,40.98469450390361,43.313677918547896,33.33327998076461,34.95165513756566,33.98911117211367,32.95854629223539,35.8079235321782,31.33654046568087,32.21174565627565,30.835594916853466,31.604968814955384,31.750155484698027,30.333749511967603,82.97932448292376,123.50658181113639,31.61319017736044,63.128416358078276,62.43435407317494,35.715270951500585,34.5910443300831,30.4339088687167,33.15982510558926,65.04644907337438,30.464803064555223,45.9369393402046,39.49791400732751,38.238603223965235,33.92402229215487",1.4531660079956055,0.0020504846378248567,0.00025286217125094666
0,GLIOMA,50,4434,bSSA,NB,100,Leave PairOut,1225,PR-AUC,0.6233332353990891,"X1224,X2597,X3986,X857,X3307,X820,X994,X2669,X3555,X524,X544,X2733,X371,X2500,X2852,X1647,X3400,X678,X832,X601,X1979,X119,X1291,X125,X2547,X1382,X2873,X740,X739,X2428,X394,X3993,X3563,X2859,X730,X4370,X203,X1455,X90,X2975,X86,X1504,X4031,X3485,X1533,X1542,X629,X2332,X3013,X4282,X71,X3449,X4387,X248,X3713,X620,X2651,X3443,X603,X4266,X58,X57,X3408,X3734,X1143,X3045,X3749,X278,X555,X3075,X4241,X3385,X2128,X2120,X313,X1743,X1776,X3338,X1789,X3312,X3300,X2060,X37,X3276,X368,X4420,X1871,X4422,X4423,X4424,X4425,X4426,X3846,X1897,X3844,X2744,X2767,X1908,X4183,X4434","29.04717924120493,29.05441467959402,29.078216764037283,29.115032455782462,29.11482159029383,29.136568475116803,29.568619572784048,30.091423273367866,29.703610911066864,29.993706336748946,30.15885342296316,29.74115131989317,29.331234620498467,29.17089061848092,30.074957880552656,29.50426264526283,30.16467618455696,29.479953584873073,29.56436883519363,30.156596295993648,30.20143021882763,51.413705453534895,31.499645515859136,34.904300750465275,30.567627850724293,39.13835728622394,38.8138135185288,41.848637570984074,48.26453413078629,32.9926343554904,33.372937680543224,30.52690886699431,45.728440452094645,32.262911068820905,38.70080792767091,43.21840792594543,34.62835917719939,33.594167822705735,57.039050913350295,31.355001952711056,31.114689844057168,32.64580764519537,49.9324329521265,36.6898910773765,33.81527291745514,32.09044314693279,39.130057908040726,50.74118293457144,37.14325798118808,32.31085789619006,32.36100019427556,34.25257517216939,30.285430418587524,34.79000563624087,30.522218797835066,32.22349326123283,44.15696250375445,43.660582753186574,33.657441687198,33.55922143253718,31.982012730042822,31.987607770896325,34.938857668407444,41.63309486779043,46.11453880578675,32.631933763386954,43.16398700051857,33.98142559212709,61.76309911629682,37.09470311285057,37.999099477319376,32.43447547788412,40.98469450390361,43.313677918547896,33.33327998076461,34.95165513756566,33.98911117211367,32.95854629223539,35.8079235321782,31.33654046568087,32.21174565627565,30.835594916853466,31.604968814955384,31.750155484698027,30.333749511967603,82.97932448292376,123.50658181113639,31.61319017736044,63.128416358078276,62.43435407317494,35.715270951500585,34.5910443300831,30.4339088687167,33.15982510558926,65.04644907337438,30.464803064555223,45.9369393402046,39.49791400732751,38.238603223965235,33.92402229215487",1.4531660079956055,0.0020504846378248567,0.00025286217125094666
0,GLIOMA,50,4434,bSSA,NB,100,Leave PairOut,1225,AUC,0.8438014812565025,"X1224,X2597,X3986,X857,X3307,X820,X994,X2669,X3555,X524,X544,X2733,X371,X2500,X2852,X1647,X3400,X678,X832,X601,X1979,X119,X1291,X125,X2547,X1382,X2873,X740,X739,X2428,X394,X3993,X3563,X2859,X730,X4370,X203,X1455,X90,X2975,X86,X1504,X4031,X3485,X1533,X1542,X629,X2332,X3013,X4282,X71,X3449,X4387,X248,X3713,X620,X2651,X3443,X603,X4266,X58,X57,X3408,X3734,X1143,X3045,X3749,X278,X555,X3075,X4241,X3385,X2128,X2120,X313,X1743,X1776,X3338,X1789,X3312,X3300,X2060,X37,X3276,X368,X4420,X1871,X4422,X4423,X4424,X4425,X4426,X3846,X1897,X3844,X2744,X2767,X1908,X4183,X4434","29.04717924120493,29.05441467959402,29.078216764037283,29.115032455782462,29.11482159029383,29.136568475116803,29.568619572784048,30.091423273367866,29.703610911066864,29.993706336748946,30.15885342296316,29.74115131989317,29.331234620498467,29.17089061848092,30.074957880552656,29.50426264526283,30.16467618455696,29.479953584873073,29.56436883519363,30.156596295993648,30.20143021882763,51.413705453534895,31.499645515859136,34.904300750465275,30.567627850724293,39.13835728622394,38.8138135185288,41.848637570984074,48.26453413078629,32.9926343554904,33.372937680543224,30.52690886699431,45.728440452094645,32.262911068820905,38.70080792767091,43.21840792594543,34.62835917719939,33.594167822705735,57.039050913350295,31.355001952711056,31.114689844057168,32.64580764519537,49.9324329521265,36.6898910773765,33.81527291745514,32.09044314693279,39.130057908040726,50.74118293457144,37.14325798118808,32.31085789619006,32.36100019427556,34.25257517216939,30.285430418587524,34.79000563624087,30.522218797835066,32.22349326123283,44.15696250375445,43.660582753186574,33.657441687198,33.55922143253718,31.982012730042822,31.987607770896325,34.938857668407444,41.63309486779043,46.11453880578675,32.631933763386954,43.16398700051857,33.98142559212709,61.76309911629682,37.09470311285057,37.999099477319376,32.43447547788412,40.98469450390361,43.313677918547896,33.33327998076461,34.95165513756566,33.98911117211367,32.95854629223539,35.8079235321782,31.33654046568087,32.21174565627565,30.835594916853466,31.604968814955384,31.750155484698027,30.333749511967603,82.97932448292376,123.50658181113639,31.61319017736044,63.128416358078276,62.43435407317494,35.715270951500585,34.5910443300831,30.4339088687167,33.15982510558926,65.04644907337438,30.464803064555223,45.9369393402046,39.49791400732751,38.238603223965235,33.92402229215487",1.4531660079956055,0.0020504846378248567,0.00025286217125094666
0,GLIOMA,50,4434,bSSA,SVM,100,Leave PairOut,1225,ACC,0.8048979591836735,"X1224,X2597,X3986,X857,X3307,X820,X994,X2669,X3555,X524,X544,X2733,X371,X2500,X2852,X1647,X3400,X678,X832,X601,X1979,X119,X1291,X125,X2547,X1382,X2873,X740,X739,X2428,X394,X3993,X3563,X2859,X730,X4370,X203,X1455,X90,X2975,X86,X1504,X4031,X3485,X1533,X1542,X629,X2332,X3013,X4282,X71,X3449,X4387,X248,X3713,X620,X2651,X3443,X603,X4266,X58,X57,X3408,X3734,X1143,X3045,X3749,X278,X555,X3075,X4241,X3385,X2128,X2120,X313,X1743,X1776,X3338,X1789,X3312,X3300,X2060,X37,X3276,X368,X4420,X1871,X4422,X4423,X4424,X4425,X4426,X3846,X1897,X3844,X2744,X2767,X1908,X4183,X4434","29.04717924120493,29.05441467959402,29.078216764037283,29.115032455782462,29.11482159029383,29.136568475116803,29.568619572784048,30.091423273367866,29.703610911066864,29.993706336748946,30.15885342296316,29.74115131989317,29.331234620498467,29.17089061848092,30.074957880552656,29.50426264526283,30.16467618455696,29.479953584873073,29.56436883519363,30.156596295993648,30.20143021882763,51.413705453534895,31.499645515859136,34.904300750465275,30.567627850724293,39.13835728622394,38.8138135185288,41.848637570984074,48.26453413078629,32.9926343554904,33.372937680543224,30.52690886699431,45.728440452094645,32.262911068820905,38.70080792767091,43.21840792594543,34.62835917719939,33.594167822705735,57.039050913350295,31.355001952711056,31.114689844057168,32.64580764519537,49.9324329521265,36.6898910773765,33.81527291745514,32.09044314693279,39.130057908040726,50.74118293457144,37.14325798118808,32.31085789619006,32.36100019427556,34.25257517216939,30.285430418587524,34.79000563624087,30.522218797835066,32.22349326123283,44.15696250375445,43.660582753186574,33.657441687198,33.55922143253718,31.982012730042822,31.987607770896325,34.938857668407444,41.63309486779043,46.11453880578675,32.631933763386954,43.16398700051857,33.98142559212709,61.76309911629682,37.09470311285057,37.999099477319376,32.43447547788412,40.98469450390361,43.313677918547896,33.33327998076461,34.95165513756566,33.98911117211367,32.95854629223539,35.8079235321782,31.33654046568087,32.21174565627565,30.835594916853466,31.604968814955384,31.750155484698027,30.333749511967603,82.97932448292376,123.50658181113639,31.61319017736044,63.128416358078276,62.43435407317494,35.715270951500585,34.5910443300831,30.4339088687167,33.15982510558926,65.04644907337438,30.464803064555223,45.9369393402046,39.49791400732751,38.238603223965235,33.92402229215487",1.4531660079956055,0.0032910504633066606,0.0001403052466256278
0,GLIOMA,50,4434,bSSA,SVM,100,Leave PairOut,1225,MCC,0.7348921225714781,"X1224,X2597,X3986,X857,X3307,X820,X994,X2669,X3555,X524,X544,X2733,X371,X2500,X2852,X1647,X3400,X678,X832,X601,X1979,X119,X1291,X125,X2547,X1382,X2873,X740,X739,X2428,X394,X3993,X3563,X2859,X730,X4370,X203,X1455,X90,X2975,X86,X1504,X4031,X3485,X1533,X1542,X629,X2332,X3013,X4282,X71,X3449,X4387,X248,X3713,X620,X2651,X3443,X603,X4266,X58,X57,X3408,X3734,X1143,X3045,X3749,X278,X555,X3075,X4241,X3385,X2128,X2120,X313,X1743,X1776,X3338,X1789,X3312,X3300,X2060,X37,X3276,X368,X4420,X1871,X4422,X4423,X4424,X4425,X4426,X3846,X1897,X3844,X2744,X2767,X1908,X4183,X4434","29.04717924120493,29.05441467959402,29.078216764037283,29.115032455782462,29.11482159029383,29.136568475116803,29.568619572784048,30.091423273367866,29.703610911066864,29.993706336748946,30.15885342296316,29.74115131989317,29.331234620498467,29.17089061848092,30.074957880552656,29.50426264526283,30.16467618455696,29.479953584873073,29.56436883519363,30.156596295993648,30.20143021882763,51.413705453534895,31.499645515859136,34.904300750465275,30.567627850724293,39.13835728622394,38.8138135185288,41.848637570984074,48.26453413078629,32.9926343554904,33.372937680543224,30.52690886699431,45.728440452094645,32.262911068820905,38.70080792767091,43.21840792594543,34.62835917719939,33.594167822705735,57.039050913350295,31.355001952711056,31.114689844057168,32.64580764519537,49.9324329521265,36.6898910773765,33.81527291745514,32.09044314693279,39.130057908040726,50.74118293457144,37.14325798118808,32.31085789619006,32.36100019427556,34.25257517216939,30.285430418587524,34.79000563624087,30.522218797835066,32.22349326123283,44.15696250375445,43.660582753186574,33.657441687198,33.55922143253718,31.982012730042822,31.987607770896325,34.938857668407444,41.63309486779043,46.11453880578675,32.631933763386954,43.16398700051857,33.98142559212709,61.76309911629682,37.09470311285057,37.999099477319376,32.43447547788412,40.98469450390361,43.313677918547896,33.33327998076461,34.95165513756566,33.98911117211367,32.95854629223539,35.8079235321782,31.33654046568087,32.21174565627565,30.835594916853466,31.604968814955384,31.750155484698027,30.333749511967603,82.97932448292376,123.50658181113639,31.61319017736044,63.128416358078276,62.43435407317494,35.715270951500585,34.5910443300831,30.4339088687167,33.15982510558926,65.04644907337438,30.464803064555223,45.9369393402046,39.49791400732751,38.238603223965235,33.92402229215487",1.4531660079956055,0.0032910504633066606,0.0001403052466256278
0,GLIOMA,50,4434,bSSA,SVM,100,Leave PairOut,1225,PR-AUC,0.8469692052924084,"X1224,X2597,X3986,X857,X3307,X820,X994,X2669,X3555,X524,X544,X2733,X371,X2500,X2852,X1647,X3400,X678,X832,X601,X1979,X119,X1291,X125,X2547,X1382,X2873,X740,X739,X2428,X394,X3993,X3563,X2859,X730,X4370,X203,X1455,X90,X2975,X86,X1504,X4031,X3485,X1533,X1542,X629,X2332,X3013,X4282,X71,X3449,X4387,X248,X3713,X620,X2651,X3443,X603,X4266,X58,X57,X3408,X3734,X1143,X3045,X3749,X278,X555,X3075,X4241,X3385,X2128,X2120,X313,X1743,X1776,X3338,X1789,X3312,X3300,X2060,X37,X3276,X368,X4420,X1871,X4422,X4423,X4424,X4425,X4426,X3846,X1897,X3844,X2744,X2767,X1908,X4183,X4434","29.04717924120493,29.05441467959402,29.078216764037283,29.115032455782462,29.11482159029383,29.136568475116803,29.568619572784048,30.091423273367866,29.703610911066864,29.993706336748946,30.15885342296316,29.74115131989317,29.331234620498467,29.17089061848092,30.074957880552656,29.50426264526283,30.16467618455696,29.479953584873073,29.56436883519363,30.156596295993648,30.20143021882763,51.413705453534895,31.499645515859136,34.904300750465275,30.567627850724293,39.13835728622394,38.8138135185288,41.848637570984074,48.26453413078629,32.9926343554904,33.372937680543224,30.52690886699431,45.728440452094645,32.262911068820905,38.70080792767091,43.21840792594543,34.62835917719939,33.594167822705735,57.039050913350295,31.355001952711056,31.114689844057168,32.64580764519537,49.9324329521265,36.6898910773765,33.81527291745514,32.09044314693279,39.130057908040726,50.74118293457144,37.14325798118808,32.31085789619006,32.36100019427556,34.25257517216939,30.285430418587524,34.79000563624087,30.522218797835066,32.22349326123283,44.15696250375445,43.660582753186574,33.657441687198,33.55922143253718,31.982012730042822,31.987607770896325,34.938857668407444,41.63309486779043,46.11453880578675,32.631933763386954,43.16398700051857,33.98142559212709,61.76309911629682,37.09470311285057,37.999099477319376,32.43447547788412,40.98469450390361,43.313677918547896,33.33327998076461,34.95165513756566,33.98911117211367,32.95854629223539,35.8079235321782,31.33654046568087,32.21174565627565,30.835594916853466,31.604968814955384,31.750155484698027,30.333749511967603,82.97932448292376,123.50658181113639,31.61319017736044,63.128416358078276,62.43435407317494,35.715270951500585,34.5910443300831,30.4339088687167,33.15982510558926,65.04644907337438,30.464803064555223,45.9369393402046,39.49791400732751,38.238603223965235,33.92402229215487",1.4531660079956055,0.0032910504633066606,0.0001403052466256278
0,GLIOMA,50,4434,bSSA,SVM,100,Leave PairOut,1225,AUC,0.9444453870887745,"X1224,X2597,X3986,X857,X3307,X820,X994,X2669,X3555,X524,X544,X2733,X371,X2500,X2852,X1647,X3400,X678,X832,X601,X1979,X119,X1291,X125,X2547,X1382,X2873,X740,X739,X2428,X394,X3993,X3563,X2859,X730,X4370,X203,X1455,X90,X2975,X86,X1504,X4031,X3485,X1533,X1542,X629,X2332,X3013,X4282,X71,X3449,X4387,X248,X3713,X620,X2651,X3443,X603,X4266,X58,X57,X3408,X3734,X1143,X3045,X3749,X278,X555,X3075,X4241,X3385,X2128,X2120,X313,X1743,X1776,X3338,X1789,X3312,X3300,X2060,X37,X3276,X368,X4420,X1871,X4422,X4423,X4424,X4425,X4426,X3846,X1897,X3844,X2744,X2767,X1908,X4183,X4434","29.04717924120493,29.05441467959402,29.078216764037283,29.115032455782462,29.11482159029383,29.136568475116803,29.568619572784048,30.091423273367866,29.703610911066864,29.993706336748946,30.15885342296316,29.74115131989317,29.331234620498467,29.17089061848092,30.074957880552656,29.50426264526283,30.16467618455696,29.479953584873073,29.56436883519363,30.156596295993648,30.20143021882763,51.413705453534895,31.499645515859136,34.904300750465275,30.567627850724293,39.13835728622394,38.8138135185288,41.848637570984074,48.26453413078629,32.9926343554904,33.372937680543224,30.52690886699431,45.728440452094645,32.262911068820905,38.70080792767091,43.21840792594543,34.62835917719939,33.594167822705735,57.039050913350295,31.355001952711056,31.114689844057168,32.64580764519537,49.9324329521265,36.6898910773765,33.81527291745514,32.09044314693279,39.130057908040726,50.74118293457144,37.14325798118808,32.31085789619006,32.36100019427556,34.25257517216939,30.285430418587524,34.79000563624087,30.522218797835066,32.22349326123283,44.15696250375445,43.660582753186574,33.657441687198,33.55922143253718,31.982012730042822,31.987607770896325,34.938857668407444,41.63309486779043,46.11453880578675,32.631933763386954,43.16398700051857,33.98142559212709,61.76309911629682,37.09470311285057,37.999099477319376,32.43447547788412,40.98469450390361,43.313677918547896,33.33327998076461,34.95165513756566,33.98911117211367,32.95854629223539,35.8079235321782,31.33654046568087,32.21174565627565,30.835594916853466,31.604968814955384,31.750155484698027,30.333749511967603,82.97932448292376,123.50658181113639,31.61319017736044,63.128416358078276,62.43435407317494,35.715270951500585,34.5910443300831,30.4339088687167,33.15982510558926,65.04644907337438,30.464803064555223,45.9369393402046,39.49791400732751,38.238603223965235,33.92402229215487",1.4531660079956055,0.0032910504633066606,0.0001403052466256278
0,GLIOMA,50,4434,bSSA,LogisticsRegression,100,Leave PairOut,1225,ACC,0.7971428571428572,"X1224,X2597,X3986,X857,X3307,X820,X994,X2669,X3555,X524,X544,X2733,X371,X2500,X2852,X1647,X3400,X678,X832,X601,X1979,X119,X1291,X125,X2547,X1382,X2873,X740,X739,X2428,X394,X3993,X3563,X2859,X730,X4370,X203,X1455,X90,X2975,X86,X1504,X4031,X3485,X1533,X1542,X629,X2332,X3013,X4282,X71,X3449,X4387,X248,X3713,X620,X2651,X3443,X603,X4266,X58,X57,X3408,X3734,X1143,X3045,X3749,X278,X555,X3075,X4241,X3385,X2128,X2120,X313,X1743,X1776,X3338,X1789,X3312,X3300,X2060,X37,X3276,X368,X4420,X1871,X4422,X4423,X4424,X4425,X4426,X3846,X1897,X3844,X2744,X2767,X1908,X4183,X4434","29.04717924120493,29.05441467959402,29.078216764037283,29.115032455782462,29.11482159029383,29.136568475116803,29.568619572784048,30.091423273367866,29.703610911066864,29.993706336748946,30.15885342296316,29.74115131989317,29.331234620498467,29.17089061848092,30.074957880552656,29.50426264526283,30.16467618455696,29.479953584873073,29.56436883519363,30.156596295993648,30.20143021882763,51.413705453534895,31.499645515859136,34.904300750465275,30.567627850724293,39.13835728622394,38.8138135185288,41.848637570984074,48.26453413078629,32.9926343554904,33.372937680543224,30.52690886699431,45.728440452094645,32.262911068820905,38.70080792767091,43.21840792594543,34.62835917719939,33.594167822705735,57.039050913350295,31.355001952711056,31.114689844057168,32.64580764519537,49.9324329521265,36.6898910773765,33.81527291745514,32.09044314693279,39.130057908040726,50.74118293457144,37.14325798118808,32.31085789619006,32.36100019427556,34.25257517216939,30.285430418587524,34.79000563624087,30.522218797835066,32.22349326123283,44.15696250375445,43.660582753186574,33.657441687198,33.55922143253718,31.982012730042822,31.987607770896325,34.938857668407444,41.63309486779043,46.11453880578675,32.631933763386954,43.16398700051857,33.98142559212709,61.76309911629682,37.09470311285057,37.999099477319376,32.43447547788412,40.98469450390361,43.313677918547896,33.33327998076461,34.95165513756566,33.98911117211367,32.95854629223539,35.8079235321782,31.33654046568087,32.21174565627565,30.835594916853466,31.604968814955384,31.750155484698027,30.333749511967603,82.97932448292376,123.50658181113639,31.61319017736044,63.128416358078276,62.43435407317494,35.715270951500585,34.5910443300831,30.4339088687167,33.15982510558926,65.04644907337438,30.464803064555223,45.9369393402046,39.49791400732751,38.238603223965235,33.92402229215487",1.4531660079956055,0.04608666050190828,0.0001937525612967355
0,GLIOMA,50,4434,bSSA,LogisticsRegression,100,Leave PairOut,1225,MCC,0.7240652760183653,"X1224,X2597,X3986,X857,X3307,X820,X994,X2669,X3555,X524,X544,X2733,X371,X2500,X2852,X1647,X3400,X678,X832,X601,X1979,X119,X1291,X125,X2547,X1382,X2873,X740,X739,X2428,X394,X3993,X3563,X2859,X730,X4370,X203,X1455,X90,X2975,X86,X1504,X4031,X3485,X1533,X1542,X629,X2332,X3013,X4282,X71,X3449,X4387,X248,X3713,X620,X2651,X3443,X603,X4266,X58,X57,X3408,X3734,X1143,X3045,X3749,X278,X555,X3075,X4241,X3385,X2128,X2120,X313,X1743,X1776,X3338,X1789,X3312,X3300,X2060,X37,X3276,X368,X4420,X1871,X4422,X4423,X4424,X4425,X4426,X3846,X1897,X3844,X2744,X2767,X1908,X4183,X4434","29.04717924120493,29.05441467959402,29.078216764037283,29.115032455782462,29.11482159029383,29.136568475116803,29.568619572784048,30.091423273367866,29.703610911066864,29.993706336748946,30.15885342296316,29.74115131989317,29.331234620498467,29.17089061848092,30.074957880552656,29.50426264526283,30.16467618455696,29.479953584873073,29.56436883519363,30.156596295993648,30.20143021882763,51.413705453534895,31.499645515859136,34.904300750465275,30.567627850724293,39.13835728622394,38.8138135185288,41.848637570984074,48.26453413078629,32.9926343554904,33.372937680543224,30.52690886699431,45.728440452094645,32.262911068820905,38.70080792767091,43.21840792594543,34.62835917719939,33.594167822705735,57.039050913350295,31.355001952711056,31.114689844057168,32.64580764519537,49.9324329521265,36.6898910773765,33.81527291745514,32.09044314693279,39.130057908040726,50.74118293457144,37.14325798118808,32.31085789619006,32.36100019427556,34.25257517216939,30.285430418587524,34.79000563624087,30.522218797835066,32.22349326123283,44.15696250375445,43.660582753186574,33.657441687198,33.55922143253718,31.982012730042822,31.987607770896325,34.938857668407444,41.63309486779043,46.11453880578675,32.631933763386954,43.16398700051857,33.98142559212709,61.76309911629682,37.09470311285057,37.999099477319376,32.43447547788412,40.98469450390361,43.313677918547896,33.33327998076461,34.95165513756566,33.98911117211367,32.95854629223539,35.8079235321782,31.33654046568087,32.21174565627565,30.835594916853466,31.604968814955384,31.750155484698027,30.333749511967603,82.97932448292376,123.50658181113639,31.61319017736044,63.128416358078276,62.43435407317494,35.715270951500585,34.5910443300831,30.4339088687167,33.15982510558926,65.04644907337438,30.464803064555223,45.9369393402046,39.49791400732751,38.238603223965235,33.92402229215487",1.4531660079956055,0.04608666050190828,0.0001937525612967355
