,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning Algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores,Feature Selection time,Fit time,Inference time per record
0,colon,62,2000,bSSA,NB,100,Leave One Out,62,ACC,0.8548387096774194,"X1058,X102,X1256,X1904,X43,X1421,X590,X1583,X1993,X1366,X1115,X1047,X1770,X495,X1110,X1139,X281,X1227,X26,X1067,X1843,X1775,X1839,X141,X143,X1974,X1965,X111,X807,X1724,X241,X1111,X989,X47,X1935,X1912,X1137,X107,X698,X201,X619,X67,X1248,X1967,X415,X437,X72,X994,X1372,X1406,X1959,X1920,X187,X1423,X62,X66,X1900,X1060,X75,X964,X1042,X127,X138,X625,X515,X513,X897,X1473,X571,X493,X1346,X1494,X1772,X1771,X1153,X1414,X822,X1730,X245,X249,X802,X267,X780,X286,X1411,X1325,X1387,X1671,X765,X1002,X1648,X739,X1635,X343,X365,X377,X391,X1582,X399,X467","9.473122437106046,9.583508714299231,9.574352237790563,9.477286036624974,9.616709443239595,9.6132679280852,9.61670949543477,9.810585424348687,9.859283381754107,9.963558274231286,9.924856979469075,9.895872281844046,9.663584252300039,9.686540592741581,9.903402601065457,9.660424960315012,10.064328426699769,11.196966750483547,12.469191700896658,11.993469689474972,12.085820277908251,12.66952214282229,10.262842778821874,10.373303481605307,12.97839063266022,10.766631309411457,11.196966728492926,11.531377828220373,11.639984946493005,10.62642934282859,12.587755829776825,13.175380304421116,10.905823343697865,10.781821485881471,10.609027003172345,11.190093668792382,11.71684230527255,11.596685970028485,10.72251346188621,10.280811588267055,10.626429383015063,10.984243040528131,11.008461810872051,10.623332675119002,12.551089118680512,11.267902775522263,11.420832757202335,10.50049979970096,10.262842779157989,12.04449823390253,11.782925885181504,11.30569693738964,13.206405436387366,33.0541404296335,13.59959181481168,17.285029865351603,19.436186162459105,23.204098616005336,16.088800476647563,14.671356938558302,21.051605953942207,14.682510379828146,19.850807599941863,17.74452929440821,14.802119143260922,35.119772104906936,29.994756605201445,18.81097173013246,13.20640546043595,25.740967810726886,15.76657990635633,13.718861315928855,26.32278426345774,26.322784326578418,16.146272984604508,24.09598496023745,14.053152127633417,20.596352583163693,23.96879011240224,27.424445078625013,18.281672569137715,23.968789910842695,26.621802908393015,17.13936507382708,15.410524760021103,17.628897797739707,18.016572545939063,18.25618179215501,30.981496059070263,17.83689955718815,16.63015326837518,16.473751365235163,17.274034008996267,13.857955563022065,20.8333493028193,17.031187450560783,15.492805264152512,28.35759688431361,21.84399295815118,15.203459997384735",1.7319166660308838,0.0033287540558845767,0.0008997878720683436
0,colon,62,2000,bSSA,NB,100,Leave One Out,62,MCC,0.6865817849910555,"X1058,X102,X1256,X1904,X43,X1421,X590,X1583,X1993,X1366,X1115,X1047,X1770,X495,X1110,X1139,X281,X1227,X26,X1067,X1843,X1775,X1839,X141,X143,X1974,X1965,X111,X807,X1724,X241,X1111,X989,X47,X1935,X1912,X1137,X107,X698,X201,X619,X67,X1248,X1967,X415,X437,X72,X994,X1372,X1406,X1959,X1920,X187,X1423,X62,X66,X1900,X1060,X75,X964,X1042,X127,X138,X625,X515,X513,X897,X1473,X571,X493,X1346,X1494,X1772,X1771,X1153,X1414,X822,X1730,X245,X249,X802,X267,X780,X286,X1411,X1325,X1387,X1671,X765,X1002,X1648,X739,X1635,X343,X365,X377,X391,X1582,X399,X467","9.473122437106046,9.583508714299231,9.574352237790563,9.477286036624974,9.616709443239595,9.6132679280852,9.61670949543477,9.810585424348687,9.859283381754107,9.963558274231286,9.924856979469075,9.895872281844046,9.663584252300039,9.686540592741581,9.903402601065457,9.660424960315012,10.064328426699769,11.196966750483547,12.469191700896658,11.993469689474972,12.085820277908251,12.66952214282229,10.262842778821874,10.373303481605307,12.97839063266022,10.766631309411457,11.196966728492926,11.531377828220373,11.639984946493005,10.62642934282859,12.587755829776825,13.175380304421116,10.905823343697865,10.781821485881471,10.609027003172345,11.190093668792382,11.71684230527255,11.596685970028485,10.72251346188621,10.280811588267055,10.626429383015063,10.984243040528131,11.008461810872051,10.623332675119002,12.551089118680512,11.267902775522263,11.420832757202335,10.50049979970096,10.262842779157989,12.04449823390253,11.782925885181504,11.30569693738964,13.206405436387366,33.0541404296335,13.59959181481168,17.285029865351603,19.436186162459105,23.204098616005336,16.088800476647563,14.671356938558302,21.051605953942207,14.682510379828146,19.850807599941863,17.74452929440821,14.802119143260922,35.119772104906936,29.994756605201445,18.81097173013246,13.20640546043595,25.740967810726886,15.76657990635633,13.718861315928855,26.32278426345774,26.322784326578418,16.146272984604508,24.09598496023745,14.053152127633417,20.596352583163693,23.96879011240224,27.424445078625013,18.281672569137715,23.968789910842695,26.621802908393015,17.13936507382708,15.410524760021103,17.628897797739707,18.016572545939063,18.25618179215501,30.981496059070263,17.83689955718815,16.63015326837518,16.473751365235163,17.274034008996267,13.857955563022065,20.8333493028193,17.031187450560783,15.492805264152512,28.35759688431361,21.84399295815118,15.203459997384735",1.7319166660308838,0.0033287540558845767,0.0008997878720683436
0,colon,62,2000,bSSA,NB,100,Leave One Out,62,PR-AUC,0.9143242340657918,"X1058,X102,X1256,X1904,X43,X1421,X590,X1583,X1993,X1366,X1115,X1047,X1770,X495,X1110,X1139,X281,X1227,X26,X1067,X1843,X1775,X1839,X141,X143,X1974,X1965,X111,X807,X1724,X241,X1111,X989,X47,X1935,X1912,X1137,X107,X698,X201,X619,X67,X1248,X1967,X415,X437,X72,X994,X1372,X1406,X1959,X1920,X187,X1423,X62,X66,X1900,X1060,X75,X964,X1042,X127,X138,X625,X515,X513,X897,X1473,X571,X493,X1346,X1494,X1772,X1771,X1153,X1414,X822,X1730,X245,X249,X802,X267,X780,X286,X1411,X1325,X1387,X1671,X765,X1002,X1648,X739,X1635,X343,X365,X377,X391,X1582,X399,X467","9.473122437106046,9.583508714299231,9.574352237790563,9.477286036624974,9.616709443239595,9.6132679280852,9.61670949543477,9.810585424348687,9.859283381754107,9.963558274231286,9.924856979469075,9.895872281844046,9.663584252300039,9.686540592741581,9.903402601065457,9.660424960315012,10.064328426699769,11.196966750483547,12.469191700896658,11.993469689474972,12.085820277908251,12.66952214282229,10.262842778821874,10.373303481605307,12.97839063266022,10.766631309411457,11.196966728492926,11.531377828220373,11.639984946493005,10.62642934282859,12.587755829776825,13.175380304421116,10.905823343697865,10.781821485881471,10.609027003172345,11.190093668792382,11.71684230527255,11.596685970028485,10.72251346188621,10.280811588267055,10.626429383015063,10.984243040528131,11.008461810872051,10.623332675119002,12.551089118680512,11.267902775522263,11.420832757202335,10.50049979970096,10.262842779157989,12.04449823390253,11.782925885181504,11.30569693738964,13.206405436387366,33.0541404296335,13.59959181481168,17.285029865351603,19.436186162459105,23.204098616005336,16.088800476647563,14.671356938558302,21.051605953942207,14.682510379828146,19.850807599941863,17.74452929440821,14.802119143260922,35.119772104906936,29.994756605201445,18.81097173013246,13.20640546043595,25.740967810726886,15.76657990635633,13.718861315928855,26.32278426345774,26.322784326578418,16.146272984604508,24.09598496023745,14.053152127633417,20.596352583163693,23.96879011240224,27.424445078625013,18.281672569137715,23.968789910842695,26.621802908393015,17.13936507382708,15.410524760021103,17.628897797739707,18.016572545939063,18.25618179215501,30.981496059070263,17.83689955718815,16.63015326837518,16.473751365235163,17.274034008996267,13.857955563022065,20.8333493028193,17.031187450560783,15.492805264152512,28.35759688431361,21.84399295815118,15.203459997384735",1.7319166660308838,0.0033287540558845767,0.0008997878720683436
0,colon,62,2000,bSSA,NB,100,Leave One Out,62,AUC,0.9340909090909091,"X1058,X102,X1256,X1904,X43,X1421,X590,X1583,X1993,X1366,X1115,X1047,X1770,X495,X1110,X1139,X281,X1227,X26,X1067,X1843,X1775,X1839,X141,X143,X1974,X1965,X111,X807,X1724,X241,X1111,X989,X47,X1935,X1912,X1137,X107,X698,X201,X619,X67,X1248,X1967,X415,X437,X72,X994,X1372,X1406,X1959,X1920,X187,X1423,X62,X66,X1900,X1060,X75,X964,X1042,X127,X138,X625,X515,X513,X897,X1473,X571,X493,X1346,X1494,X1772,X1771,X1153,X1414,X822,X1730,X245,X249,X802,X267,X780,X286,X1411,X1325,X1387,X1671,X765,X1002,X1648,X739,X1635,X343,X365,X377,X391,X1582,X399,X467","9.473122437106046,9.583508714299231,9.574352237790563,9.477286036624974,9.616709443239595,9.6132679280852,9.61670949543477,9.810585424348687,9.859283381754107,9.963558274231286,9.924856979469075,9.895872281844046,9.663584252300039,9.686540592741581,9.903402601065457,9.660424960315012,10.064328426699769,11.196966750483547,12.469191700896658,11.993469689474972,12.085820277908251,12.66952214282229,10.262842778821874,10.373303481605307,12.97839063266022,10.766631309411457,11.196966728492926,11.531377828220373,11.639984946493005,10.62642934282859,12.587755829776825,13.175380304421116,10.905823343697865,10.781821485881471,10.609027003172345,11.190093668792382,11.71684230527255,11.596685970028485,10.72251346188621,10.280811588267055,10.626429383015063,10.984243040528131,11.008461810872051,10.623332675119002,12.551089118680512,11.267902775522263,11.420832757202335,10.50049979970096,10.262842779157989,12.04449823390253,11.782925885181504,11.30569693738964,13.206405436387366,33.0541404296335,13.59959181481168,17.285029865351603,19.436186162459105,23.204098616005336,16.088800476647563,14.671356938558302,21.051605953942207,14.682510379828146,19.850807599941863,17.74452929440821,14.802119143260922,35.119772104906936,29.994756605201445,18.81097173013246,13.20640546043595,25.740967810726886,15.76657990635633,13.718861315928855,26.32278426345774,26.322784326578418,16.146272984604508,24.09598496023745,14.053152127633417,20.596352583163693,23.96879011240224,27.424445078625013,18.281672569137715,23.968789910842695,26.621802908393015,17.13936507382708,15.410524760021103,17.628897797739707,18.016572545939063,18.25618179215501,30.981496059070263,17.83689955718815,16.63015326837518,16.473751365235163,17.274034008996267,13.857955563022065,20.8333493028193,17.031187450560783,15.492805264152512,28.35759688431361,21.84399295815118,15.203459997384735",1.7319166660308838,0.0033287540558845767,0.0008997878720683436
0,colon,62,2000,bSSA,SVM,100,Leave One Out,62,ACC,0.8548387096774194,"X1058,X102,X1256,X1904,X43,X1421,X590,X1583,X1993,X1366,X1115,X1047,X1770,X495,X1110,X1139,X281,X1227,X26,X1067,X1843,X1775,X1839,X141,X143,X1974,X1965,X111,X807,X1724,X241,X1111,X989,X47,X1935,X1912,X1137,X107,X698,X201,X619,X67,X1248,X1967,X415,X437,X72,X994,X1372,X1406,X1959,X1920,X187,X1423,X62,X66,X1900,X1060,X75,X964,X1042,X127,X138,X625,X515,X513,X897,X1473,X571,X493,X1346,X1494,X1772,X1771,X1153,X1414,X822,X1730,X245,X249,X802,X267,X780,X286,X1411,X1325,X1387,X1671,X765,X1002,X1648,X739,X1635,X343,X365,X377,X391,X1582,X399,X467","9.473122437106046,9.583508714299231,9.574352237790563,9.477286036624974,9.616709443239595,9.6132679280852,9.61670949543477,9.810585424348687,9.859283381754107,9.963558274231286,9.924856979469075,9.895872281844046,9.663584252300039,9.686540592741581,9.903402601065457,9.660424960315012,10.064328426699769,11.196966750483547,12.469191700896658,11.993469689474972,12.085820277908251,12.66952214282229,10.262842778821874,10.373303481605307,12.97839063266022,10.766631309411457,11.196966728492926,11.531377828220373,11.639984946493005,10.62642934282859,12.587755829776825,13.175380304421116,10.905823343697865,10.781821485881471,10.609027003172345,11.190093668792382,11.71684230527255,11.596685970028485,10.72251346188621,10.280811588267055,10.626429383015063,10.984243040528131,11.008461810872051,10.623332675119002,12.551089118680512,11.267902775522263,11.420832757202335,10.50049979970096,10.262842779157989,12.04449823390253,11.782925885181504,11.30569693738964,13.206405436387366,33.0541404296335,13.59959181481168,17.285029865351603,19.436186162459105,23.204098616005336,16.088800476647563,14.671356938558302,21.051605953942207,14.682510379828146,19.850807599941863,17.74452929440821,14.802119143260922,35.119772104906936,29.994756605201445,18.81097173013246,13.20640546043595,25.740967810726886,15.76657990635633,13.718861315928855,26.32278426345774,26.322784326578418,16.146272984604508,24.09598496023745,14.053152127633417,20.596352583163693,23.96879011240224,27.424445078625013,18.281672569137715,23.968789910842695,26.621802908393015,17.13936507382708,15.410524760021103,17.628897797739707,18.016572545939063,18.25618179215501,30.981496059070263,17.83689955718815,16.63015326837518,16.473751365235163,17.274034008996267,13.857955563022065,20.8333493028193,17.031187450560783,15.492805264152512,28.35759688431361,21.84399295815118,15.203459997384735",1.7319166660308838,0.003574798184056436,0.0005511160819761215
0,colon,62,2000,bSSA,SVM,100,Leave One Out,62,MCC,0.6865817849910555,"X1058,X102,X1256,X1904,X43,X1421,X590,X1583,X1993,X1366,X1115,X1047,X1770,X495,X1110,X1139,X281,X1227,X26,X1067,X1843,X1775,X1839,X141,X143,X1974,X1965,X111,X807,X1724,X241,X1111,X989,X47,X1935,X1912,X1137,X107,X698,X201,X619,X67,X1248,X1967,X415,X437,X72,X994,X1372,X1406,X1959,X1920,X187,X1423,X62,X66,X1900,X1060,X75,X964,X1042,X127,X138,X625,X515,X513,X897,X1473,X571,X493,X1346,X1494,X1772,X1771,X1153,X1414,X822,X1730,X245,X249,X802,X267,X780,X286,X1411,X1325,X1387,X1671,X765,X1002,X1648,X739,X1635,X343,X365,X377,X391,X1582,X399,X467","9.473122437106046,9.583508714299231,9.574352237790563,9.477286036624974,9.616709443239595,9.6132679280852,9.61670949543477,9.810585424348687,9.859283381754107,9.963558274231286,9.924856979469075,9.895872281844046,9.663584252300039,9.686540592741581,9.903402601065457,9.660424960315012,10.064328426699769,11.196966750483547,12.469191700896658,11.993469689474972,12.085820277908251,12.66952214282229,10.262842778821874,10.373303481605307,12.97839063266022,10.766631309411457,11.196966728492926,11.531377828220373,11.639984946493005,10.62642934282859,12.587755829776825,13.175380304421116,10.905823343697865,10.781821485881471,10.609027003172345,11.190093668792382,11.71684230527255,11.596685970028485,10.72251346188621,10.280811588267055,10.626429383015063,10.984243040528131,11.008461810872051,10.623332675119002,12.551089118680512,11.267902775522263,11.420832757202335,10.50049979970096,10.262842779157989,12.04449823390253,11.782925885181504,11.30569693738964,13.206405436387366,33.0541404296335,13.59959181481168,17.285029865351603,19.436186162459105,23.204098616005336,16.088800476647563,14.671356938558302,21.051605953942207,14.682510379828146,19.850807599941863,17.74452929440821,14.802119143260922,35.119772104906936,29.994756605201445,18.81097173013246,13.20640546043595,25.740967810726886,15.76657990635633,13.718861315928855,26.32278426345774,26.322784326578418,16.146272984604508,24.09598496023745,14.053152127633417,20.596352583163693,23.96879011240224,27.424445078625013,18.281672569137715,23.968789910842695,26.621802908393015,17.13936507382708,15.410524760021103,17.628897797739707,18.016572545939063,18.25618179215501,30.981496059070263,17.83689955718815,16.63015326837518,16.473751365235163,17.274034008996267,13.857955563022065,20.8333493028193,17.031187450560783,15.492805264152512,28.35759688431361,21.84399295815118,15.203459997384735",1.7319166660308838,0.003574798184056436,0.0005511160819761215
0,colon,62,2000,bSSA,SVM,100,Leave One Out,62,PR-AUC,0.8967418751240721,"X1058,X102,X1256,X1904,X43,X1421,X590,X1583,X1993,X1366,X1115,X1047,X1770,X495,X1110,X1139,X281,X1227,X26,X1067,X1843,X1775,X1839,X141,X143,X1974,X1965,X111,X807,X1724,X241,X1111,X989,X47,X1935,X1912,X1137,X107,X698,X201,X619,X67,X1248,X1967,X415,X437,X72,X994,X1372,X1406,X1959,X1920,X187,X1423,X62,X66,X1900,X1060,X75,X964,X1042,X127,X138,X625,X515,X513,X897,X1473,X571,X493,X1346,X1494,X1772,X1771,X1153,X1414,X822,X1730,X245,X249,X802,X267,X780,X286,X1411,X1325,X1387,X1671,X765,X1002,X1648,X739,X1635,X343,X365,X377,X391,X1582,X399,X467","9.473122437106046,9.583508714299231,9.574352237790563,9.477286036624974,9.616709443239595,9.6132679280852,9.61670949543477,9.810585424348687,9.859283381754107,9.963558274231286,9.924856979469075,9.895872281844046,9.663584252300039,9.686540592741581,9.903402601065457,9.660424960315012,10.064328426699769,11.196966750483547,12.469191700896658,11.993469689474972,12.085820277908251,12.66952214282229,10.262842778821874,10.373303481605307,12.97839063266022,10.766631309411457,11.196966728492926,11.531377828220373,11.639984946493005,10.62642934282859,12.587755829776825,13.175380304421116,10.905823343697865,10.781821485881471,10.609027003172345,11.190093668792382,11.71684230527255,11.596685970028485,10.72251346188621,10.280811588267055,10.626429383015063,10.984243040528131,11.008461810872051,10.623332675119002,12.551089118680512,11.267902775522263,11.420832757202335,10.50049979970096,10.262842779157989,12.04449823390253,11.782925885181504,11.30569693738964,13.206405436387366,33.0541404296335,13.59959181481168,17.285029865351603,19.436186162459105,23.204098616005336,16.088800476647563,14.671356938558302,21.051605953942207,14.682510379828146,19.850807599941863,17.74452929440821,14.802119143260922,35.119772104906936,29.994756605201445,18.81097173013246,13.20640546043595,25.740967810726886,15.76657990635633,13.718861315928855,26.32278426345774,26.322784326578418,16.146272984604508,24.09598496023745,14.053152127633417,20.596352583163693,23.96879011240224,27.424445078625013,18.281672569137715,23.968789910842695,26.621802908393015,17.13936507382708,15.410524760021103,17.628897797739707,18.016572545939063,18.25618179215501,30.981496059070263,17.83689955718815,16.63015326837518,16.473751365235163,17.274034008996267,13.857955563022065,20.8333493028193,17.031187450560783,15.492805264152512,28.35759688431361,21.84399295815118,15.203459997384735",1.7319166660308838,0.003574798184056436,0.0005511160819761215
0,colon,62,2000,bSSA,SVM,100,Leave One Out,62,AUC,0.9181818181818182,"X1058,X102,X1256,X1904,X43,X1421,X590,X1583,X1993,X1366,X1115,X1047,X1770,X495,X1110,X1139,X281,X1227,X26,X1067,X1843,X1775,X1839,X141,X143,X1974,X1965,X111,X807,X1724,X241,X1111,X989,X47,X1935,X1912,X1137,X107,X698,X201,X619,X67,X1248,X1967,X415,X437,X72,X994,X1372,X1406,X1959,X1920,X187,X1423,X62,X66,X1900,X1060,X75,X964,X1042,X127,X138,X625,X515,X513,X897,X1473,X571,X493,X1346,X1494,X1772,X1771,X1153,X1414,X822,X1730,X245,X249,X802,X267,X780,X286,X1411,X1325,X1387,X1671,X765,X1002,X1648,X739,X1635,X343,X365,X377,X391,X1582,X399,X467","9.473122437106046,9.583508714299231,9.574352237790563,9.477286036624974,9.616709443239595,9.6132679280852,9.61670949543477,9.810585424348687,9.859283381754107,9.963558274231286,9.924856979469075,9.895872281844046,9.663584252300039,9.686540592741581,9.903402601065457,9.660424960315012,10.064328426699769,11.196966750483547,12.469191700896658,11.993469689474972,12.085820277908251,12.66952214282229,10.262842778821874,10.373303481605307,12.97839063266022,10.766631309411457,11.196966728492926,11.531377828220373,11.639984946493005,10.62642934282859,12.587755829776825,13.175380304421116,10.905823343697865,10.781821485881471,10.609027003172345,11.190093668792382,11.71684230527255,11.596685970028485,10.72251346188621,10.280811588267055,10.626429383015063,10.984243040528131,11.008461810872051,10.623332675119002,12.551089118680512,11.267902775522263,11.420832757202335,10.50049979970096,10.262842779157989,12.04449823390253,11.782925885181504,11.30569693738964,13.206405436387366,33.0541404296335,13.59959181481168,17.285029865351603,19.436186162459105,23.204098616005336,16.088800476647563,14.671356938558302,21.051605953942207,14.682510379828146,19.850807599941863,17.74452929440821,14.802119143260922,35.119772104906936,29.994756605201445,18.81097173013246,13.20640546043595,25.740967810726886,15.76657990635633,13.718861315928855,26.32278426345774,26.322784326578418,16.146272984604508,24.09598496023745,14.053152127633417,20.596352583163693,23.96879011240224,27.424445078625013,18.281672569137715,23.968789910842695,26.621802908393015,17.13936507382708,15.410524760021103,17.628897797739707,18.016572545939063,18.25618179215501,30.981496059070263,17.83689955718815,16.63015326837518,16.473751365235163,17.274034008996267,13.857955563022065,20.8333493028193,17.031187450560783,15.492805264152512,28.35759688431361,21.84399295815118,15.203459997384735",1.7319166660308838,0.003574798184056436,0.0005511160819761215
0,colon,62,2000,bSSA,LogisticsRegression,100,Leave One Out,62,ACC,0.8387096774193549,"X1058,X102,X1256,X1904,X43,X1421,X590,X1583,X1993,X1366,X1115,X1047,X1770,X495,X1110,X1139,X281,X1227,X26,X1067,X1843,X1775,X1839,X141,X143,X1974,X1965,X111,X807,X1724,X241,X1111,X989,X47,X1935,X1912,X1137,X107,X698,X201,X619,X67,X1248,X1967,X415,X437,X72,X994,X1372,X1406,X1959,X1920,X187,X1423,X62,X66,X1900,X1060,X75,X964,X1042,X127,X138,X625,X515,X513,X897,X1473,X571,X493,X1346,X1494,X1772,X1771,X1153,X1414,X822,X1730,X245,X249,X802,X267,X780,X286,X1411,X1325,X1387,X1671,X765,X1002,X1648,X739,X1635,X343,X365,X377,X391,X1582,X399,X467","9.473122437106046,9.583508714299231,9.574352237790563,9.477286036624974,9.616709443239595,9.6132679280852,9.61670949543477,9.810585424348687,9.859283381754107,9.963558274231286,9.924856979469075,9.895872281844046,9.663584252300039,9.686540592741581,9.903402601065457,9.660424960315012,10.064328426699769,11.196966750483547,12.469191700896658,11.993469689474972,12.085820277908251,12.66952214282229,10.262842778821874,10.373303481605307,12.97839063266022,10.766631309411457,11.196966728492926,11.531377828220373,11.639984946493005,10.62642934282859,12.587755829776825,13.175380304421116,10.905823343697865,10.781821485881471,10.609027003172345,11.190093668792382,11.71684230527255,11.596685970028485,10.72251346188621,10.280811588267055,10.626429383015063,10.984243040528131,11.008461810872051,10.623332675119002,12.551089118680512,11.267902775522263,11.420832757202335,10.50049979970096,10.262842779157989,12.04449823390253,11.782925885181504,11.30569693738964,13.206405436387366,33.0541404296335,13.59959181481168,17.285029865351603,19.436186162459105,23.204098616005336,16.088800476647563,14.671356938558302,21.051605953942207,14.682510379828146,19.850807599941863,17.74452929440821,14.802119143260922,35.119772104906936,29.994756605201445,18.81097173013246,13.20640546043595,25.740967810726886,15.76657990635633,13.718861315928855,26.32278426345774,26.322784326578418,16.146272984604508,24.09598496023745,14.053152127633417,20.596352583163693,23.96879011240224,27.424445078625013,18.281672569137715,23.968789910842695,26.621802908393015,17.13936507382708,15.410524760021103,17.628897797739707,18.016572545939063,18.25618179215501,30.981496059070263,17.83689955718815,16.63015326837518,16.473751365235163,17.274034008996267,13.857955563022065,20.8333493028193,17.031187450560783,15.492805264152512,28.35759688431361,21.84399295815118,15.203459997384735",1.7319166660308838,0.015761498481996598,0.0009012299199258127
0,colon,62,2000,bSSA,LogisticsRegression,100,Leave One Out,62,MCC,0.6477272727272727,"X1058,X102,X1256,X1904,X43,X1421,X590,X1583,X1993,X1366,X1115,X1047,X1770,X495,X1110,X1139,X281,X1227,X26,X1067,X1843,X1775,X1839,X141,X143,X1974,X1965,X111,X807,X1724,X241,X1111,X989,X47,X1935,X1912,X1137,X107,X698,X201,X619,X67,X1248,X1967,X415,X437,X72,X994,X1372,X1406,X1959,X1920,X187,X1423,X62,X66,X1900,X1060,X75,X964,X1042,X127,X138,X625,X515,X513,X897,X1473,X571,X493,X1346,X1494,X1772,X1771,X1153,X1414,X822,X1730,X245,X249,X802,X267,X780,X286,X1411,X1325,X1387,X1671,X765,X1002,X1648,X739,X1635,X343,X365,X377,X391,X1582,X399,X467","9.473122437106046,9.583508714299231,9.574352237790563,9.477286036624974,9.616709443239595,9.6132679280852,9.61670949543477,9.810585424348687,9.859283381754107,9.963558274231286,9.924856979469075,9.895872281844046,9.663584252300039,9.686540592741581,9.903402601065457,9.660424960315012,10.064328426699769,11.196966750483547,12.469191700896658,11.993469689474972,12.085820277908251,12.66952214282229,10.262842778821874,10.373303481605307,12.97839063266022,10.766631309411457,11.196966728492926,11.531377828220373,11.639984946493005,10.62642934282859,12.587755829776825,13.175380304421116,10.905823343697865,10.781821485881471,10.609027003172345,11.190093668792382,11.71684230527255,11.596685970028485,10.72251346188621,10.280811588267055,10.626429383015063,10.984243040528131,11.008461810872051,10.623332675119002,12.551089118680512,11.267902775522263,11.420832757202335,10.50049979970096,10.262842779157989,12.04449823390253,11.782925885181504,11.30569693738964,13.206405436387366,33.0541404296335,13.59959181481168,17.285029865351603,19.436186162459105,23.204098616005336,16.088800476647563,14.671356938558302,21.051605953942207,14.682510379828146,19.850807599941863,17.74452929440821,14.802119143260922,35.119772104906936,29.994756605201445,18.81097173013246,13.20640546043595,25.740967810726886,15.76657990635633,13.718861315928855,26.32278426345774,26.322784326578418,16.146272984604508,24.09598496023745,14.053152127633417,20.596352583163693,23.96879011240224,27.424445078625013,18.281672569137715,23.968789910842695,26.621802908393015,17.13936507382708,15.410524760021103,17.628897797739707,18.016572545939063,18.25618179215501,30.981496059070263,17.83689955718815,16.63015326837518,16.473751365235163,17.274034008996267,13.857955563022065,20.8333493028193,17.031187450560783,15.492805264152512,28.35759688431361,21.84399295815118,15.203459997384735",1.7319166660308838,0.015761498481996598,0.0009012299199258127
