,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning Algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores,Feature Selection time,Fit time,Inference time per record
0,journal.pone.0246039.s002,62,2000,bSSA,NB,100,Leave One Out,62,ACC,0.8709677419354839,"V1972,V732,V1411,V1967,V201,V1597,V495,V1387,V419,V1679,V1583,V415,V1770,V1960,V1867,V1421,V989,V411,V992,V49,V994,V1231,V241,V1924,V187,V520,V548,V1244,V1451,V1002,V1247,V1168,V1258,V571,V399,V1839,V892,V1836,V1325,V26,V830,V1263,V1047,V581,V286,V1115,V1549,V1473,V882,V75,V1111,V1983,V1293,V561,V1511,V513,V780,V897,V1423,V245,V1582,V249,V1406,V493,V1900,V765,V1897,V1892,V964,V1884,V1634,V1635,V1843,V1648,V1042,V14,V66,V67,V824,V822,V391,V739,V1060,V1671,V1674,V1494,V377,V365,V812,V138,V137,V1256,V1772,V1771,V625,V1730,V802,V1153,V111,V267","16.21483029244694,16.481980702021485,20.552580612786823,18.13891405254857,18.96174426377767,16.97333667252756,20.176501778342306,18.669668368071836,19.745846471579263,20.94167538702788,17.70913710335935,20.742837396077235,19.50913713337531,21.26605552292186,21.608417229779587,19.846346533302203,16.589009285959886,21.123178043030784,21.809778642624135,20.775577899536316,20.162445064899522,20.579173886524252,20.102984788929863,17.609068223737715,21.06795041043697,16.942042529174774,18.24356195432229,20.625198008977957,20.30005217444331,18.80257411087172,19.60142838181327,17.911898820878026,17.183628180823252,19.691859848123865,17.929689580285622,18.167629343838065,19.89300077650163,18.90611980704139,19.45241707571947,21.876291368485447,20.24558484744532,16.97128390978095,17.110192668527066,22.195122608507024,21.14085141700794,17.91904368752527,16.639927575691807,18.18695252074546,16.990160276576614,19.398575746235093,17.93741419296739,17.287746462210194,22.22894948731569,19.43973540683486,22.44372559055766,30.378420092426275,27.050623764104447,33.8851879933226,43.41768386916031,27.79161201777249,30.568828073797548,45.401472823052295,27.163864652284488,57.570018109303376,24.430001898450076,29.374458340065754,26.069030718077595,22.54849309365605,26.94911470031695,32.150806397697444,22.9080193593639,51.883896795059925,33.82283306274937,23.39515320227133,31.427892662270185,29.029431008007446,30.66126444950812,23.41384227441345,25.879112551064484,30.738574082354273,26.91170283547652,27.463212583204,26.7070106796413,23.944548346463694,23.077846328434727,31.869706747789028,57.89684170661492,26.38470747640553,27.476381790085785,27.467617272496934,28.186446607971956,22.708928529004844,33.89033369468725,35.27929323851092,41.583642558686,30.511246434212545,23.937389679478954,23.302813477437734,22.444939943227073,26.6873321192323",1.4530751705169678,0.0025202612723073652,0.0
0,journal.pone.0246039.s002,62,2000,bSSA,NB,100,Leave One Out,62,MCC,0.7255621205311101,"V1972,V732,V1411,V1967,V201,V1597,V495,V1387,V419,V1679,V1583,V415,V1770,V1960,V1867,V1421,V989,V411,V992,V49,V994,V1231,V241,V1924,V187,V520,V548,V1244,V1451,V1002,V1247,V1168,V1258,V571,V399,V1839,V892,V1836,V1325,V26,V830,V1263,V1047,V581,V286,V1115,V1549,V1473,V882,V75,V1111,V1983,V1293,V561,V1511,V513,V780,V897,V1423,V245,V1582,V249,V1406,V493,V1900,V765,V1897,V1892,V964,V1884,V1634,V1635,V1843,V1648,V1042,V14,V66,V67,V824,V822,V391,V739,V1060,V1671,V1674,V1494,V377,V365,V812,V138,V137,V1256,V1772,V1771,V625,V1730,V802,V1153,V111,V267","16.21483029244694,16.481980702021485,20.552580612786823,18.13891405254857,18.96174426377767,16.97333667252756,20.176501778342306,18.669668368071836,19.745846471579263,20.94167538702788,17.70913710335935,20.742837396077235,19.50913713337531,21.26605552292186,21.608417229779587,19.846346533302203,16.589009285959886,21.123178043030784,21.809778642624135,20.775577899536316,20.162445064899522,20.579173886524252,20.102984788929863,17.609068223737715,21.06795041043697,16.942042529174774,18.24356195432229,20.625198008977957,20.30005217444331,18.80257411087172,19.60142838181327,17.911898820878026,17.183628180823252,19.691859848123865,17.929689580285622,18.167629343838065,19.89300077650163,18.90611980704139,19.45241707571947,21.876291368485447,20.24558484744532,16.97128390978095,17.110192668527066,22.195122608507024,21.14085141700794,17.91904368752527,16.639927575691807,18.18695252074546,16.990160276576614,19.398575746235093,17.93741419296739,17.287746462210194,22.22894948731569,19.43973540683486,22.44372559055766,30.378420092426275,27.050623764104447,33.8851879933226,43.41768386916031,27.79161201777249,30.568828073797548,45.401472823052295,27.163864652284488,57.570018109303376,24.430001898450076,29.374458340065754,26.069030718077595,22.54849309365605,26.94911470031695,32.150806397697444,22.9080193593639,51.883896795059925,33.82283306274937,23.39515320227133,31.427892662270185,29.029431008007446,30.66126444950812,23.41384227441345,25.879112551064484,30.738574082354273,26.91170283547652,27.463212583204,26.7070106796413,23.944548346463694,23.077846328434727,31.869706747789028,57.89684170661492,26.38470747640553,27.476381790085785,27.467617272496934,28.186446607971956,22.708928529004844,33.89033369468725,35.27929323851092,41.583642558686,30.511246434212545,23.937389679478954,23.302813477437734,22.444939943227073,26.6873321192323",1.4530751705169678,0.0025202612723073652,0.0
0,journal.pone.0246039.s002,62,2000,bSSA,NB,100,Leave One Out,62,PR-AUC,0.9201752330333923,"V1972,V732,V1411,V1967,V201,V1597,V495,V1387,V419,V1679,V1583,V415,V1770,V1960,V1867,V1421,V989,V411,V992,V49,V994,V1231,V241,V1924,V187,V520,V548,V1244,V1451,V1002,V1247,V1168,V1258,V571,V399,V1839,V892,V1836,V1325,V26,V830,V1263,V1047,V581,V286,V1115,V1549,V1473,V882,V75,V1111,V1983,V1293,V561,V1511,V513,V780,V897,V1423,V245,V1582,V249,V1406,V493,V1900,V765,V1897,V1892,V964,V1884,V1634,V1635,V1843,V1648,V1042,V14,V66,V67,V824,V822,V391,V739,V1060,V1671,V1674,V1494,V377,V365,V812,V138,V137,V1256,V1772,V1771,V625,V1730,V802,V1153,V111,V267","16.21483029244694,16.481980702021485,20.552580612786823,18.13891405254857,18.96174426377767,16.97333667252756,20.176501778342306,18.669668368071836,19.745846471579263,20.94167538702788,17.70913710335935,20.742837396077235,19.50913713337531,21.26605552292186,21.608417229779587,19.846346533302203,16.589009285959886,21.123178043030784,21.809778642624135,20.775577899536316,20.162445064899522,20.579173886524252,20.102984788929863,17.609068223737715,21.06795041043697,16.942042529174774,18.24356195432229,20.625198008977957,20.30005217444331,18.80257411087172,19.60142838181327,17.911898820878026,17.183628180823252,19.691859848123865,17.929689580285622,18.167629343838065,19.89300077650163,18.90611980704139,19.45241707571947,21.876291368485447,20.24558484744532,16.97128390978095,17.110192668527066,22.195122608507024,21.14085141700794,17.91904368752527,16.639927575691807,18.18695252074546,16.990160276576614,19.398575746235093,17.93741419296739,17.287746462210194,22.22894948731569,19.43973540683486,22.44372559055766,30.378420092426275,27.050623764104447,33.8851879933226,43.41768386916031,27.79161201777249,30.568828073797548,45.401472823052295,27.163864652284488,57.570018109303376,24.430001898450076,29.374458340065754,26.069030718077595,22.54849309365605,26.94911470031695,32.150806397697444,22.9080193593639,51.883896795059925,33.82283306274937,23.39515320227133,31.427892662270185,29.029431008007446,30.66126444950812,23.41384227441345,25.879112551064484,30.738574082354273,26.91170283547652,27.463212583204,26.7070106796413,23.944548346463694,23.077846328434727,31.869706747789028,57.89684170661492,26.38470747640553,27.476381790085785,27.467617272496934,28.186446607971956,22.708928529004844,33.89033369468725,35.27929323851092,41.583642558686,30.511246434212545,23.937389679478954,23.302813477437734,22.444939943227073,26.6873321192323",1.4530751705169678,0.0025202612723073652,0.0
0,journal.pone.0246039.s002,62,2000,bSSA,NB,100,Leave One Out,62,AUC,0.9306818181818182,"V1972,V732,V1411,V1967,V201,V1597,V495,V1387,V419,V1679,V1583,V415,V1770,V1960,V1867,V1421,V989,V411,V992,V49,V994,V1231,V241,V1924,V187,V520,V548,V1244,V1451,V1002,V1247,V1168,V1258,V571,V399,V1839,V892,V1836,V1325,V26,V830,V1263,V1047,V581,V286,V1115,V1549,V1473,V882,V75,V1111,V1983,V1293,V561,V1511,V513,V780,V897,V1423,V245,V1582,V249,V1406,V493,V1900,V765,V1897,V1892,V964,V1884,V1634,V1635,V1843,V1648,V1042,V14,V66,V67,V824,V822,V391,V739,V1060,V1671,V1674,V1494,V377,V365,V812,V138,V137,V1256,V1772,V1771,V625,V1730,V802,V1153,V111,V267","16.21483029244694,16.481980702021485,20.552580612786823,18.13891405254857,18.96174426377767,16.97333667252756,20.176501778342306,18.669668368071836,19.745846471579263,20.94167538702788,17.70913710335935,20.742837396077235,19.50913713337531,21.26605552292186,21.608417229779587,19.846346533302203,16.589009285959886,21.123178043030784,21.809778642624135,20.775577899536316,20.162445064899522,20.579173886524252,20.102984788929863,17.609068223737715,21.06795041043697,16.942042529174774,18.24356195432229,20.625198008977957,20.30005217444331,18.80257411087172,19.60142838181327,17.911898820878026,17.183628180823252,19.691859848123865,17.929689580285622,18.167629343838065,19.89300077650163,18.90611980704139,19.45241707571947,21.876291368485447,20.24558484744532,16.97128390978095,17.110192668527066,22.195122608507024,21.14085141700794,17.91904368752527,16.639927575691807,18.18695252074546,16.990160276576614,19.398575746235093,17.93741419296739,17.287746462210194,22.22894948731569,19.43973540683486,22.44372559055766,30.378420092426275,27.050623764104447,33.8851879933226,43.41768386916031,27.79161201777249,30.568828073797548,45.401472823052295,27.163864652284488,57.570018109303376,24.430001898450076,29.374458340065754,26.069030718077595,22.54849309365605,26.94911470031695,32.150806397697444,22.9080193593639,51.883896795059925,33.82283306274937,23.39515320227133,31.427892662270185,29.029431008007446,30.66126444950812,23.41384227441345,25.879112551064484,30.738574082354273,26.91170283547652,27.463212583204,26.7070106796413,23.944548346463694,23.077846328434727,31.869706747789028,57.89684170661492,26.38470747640553,27.476381790085785,27.467617272496934,28.186446607971956,22.708928529004844,33.89033369468725,35.27929323851092,41.583642558686,30.511246434212545,23.937389679478954,23.302813477437734,22.444939943227073,26.6873321192323",1.4530751705169678,0.0025202612723073652,0.0
0,journal.pone.0246039.s002,62,2000,bSSA,SVM,100,Leave One Out,62,ACC,0.8709677419354839,"V1972,V732,V1411,V1967,V201,V1597,V495,V1387,V419,V1679,V1583,V415,V1770,V1960,V1867,V1421,V989,V411,V992,V49,V994,V1231,V241,V1924,V187,V520,V548,V1244,V1451,V1002,V1247,V1168,V1258,V571,V399,V1839,V892,V1836,V1325,V26,V830,V1263,V1047,V581,V286,V1115,V1549,V1473,V882,V75,V1111,V1983,V1293,V561,V1511,V513,V780,V897,V1423,V245,V1582,V249,V1406,V493,V1900,V765,V1897,V1892,V964,V1884,V1634,V1635,V1843,V1648,V1042,V14,V66,V67,V824,V822,V391,V739,V1060,V1671,V1674,V1494,V377,V365,V812,V138,V137,V1256,V1772,V1771,V625,V1730,V802,V1153,V111,V267","16.21483029244694,16.481980702021485,20.552580612786823,18.13891405254857,18.96174426377767,16.97333667252756,20.176501778342306,18.669668368071836,19.745846471579263,20.94167538702788,17.70913710335935,20.742837396077235,19.50913713337531,21.26605552292186,21.608417229779587,19.846346533302203,16.589009285959886,21.123178043030784,21.809778642624135,20.775577899536316,20.162445064899522,20.579173886524252,20.102984788929863,17.609068223737715,21.06795041043697,16.942042529174774,18.24356195432229,20.625198008977957,20.30005217444331,18.80257411087172,19.60142838181327,17.911898820878026,17.183628180823252,19.691859848123865,17.929689580285622,18.167629343838065,19.89300077650163,18.90611980704139,19.45241707571947,21.876291368485447,20.24558484744532,16.97128390978095,17.110192668527066,22.195122608507024,21.14085141700794,17.91904368752527,16.639927575691807,18.18695252074546,16.990160276576614,19.398575746235093,17.93741419296739,17.287746462210194,22.22894948731569,19.43973540683486,22.44372559055766,30.378420092426275,27.050623764104447,33.8851879933226,43.41768386916031,27.79161201777249,30.568828073797548,45.401472823052295,27.163864652284488,57.570018109303376,24.430001898450076,29.374458340065754,26.069030718077595,22.54849309365605,26.94911470031695,32.150806397697444,22.9080193593639,51.883896795059925,33.82283306274937,23.39515320227133,31.427892662270185,29.029431008007446,30.66126444950812,23.41384227441345,25.879112551064484,30.738574082354273,26.91170283547652,27.463212583204,26.7070106796413,23.944548346463694,23.077846328434727,31.869706747789028,57.89684170661492,26.38470747640553,27.476381790085785,27.467617272496934,28.186446607971956,22.708928529004844,33.89033369468725,35.27929323851092,41.583642558686,30.511246434212545,23.937389679478954,23.302813477437734,22.444939943227073,26.6873321192323",1.4530751705169678,0.002772258174034857,0.00025189307428175403
0,journal.pone.0246039.s002,62,2000,bSSA,SVM,100,Leave One Out,62,MCC,0.7181818181818181,"V1972,V732,V1411,V1967,V201,V1597,V495,V1387,V419,V1679,V1583,V415,V1770,V1960,V1867,V1421,V989,V411,V992,V49,V994,V1231,V241,V1924,V187,V520,V548,V1244,V1451,V1002,V1247,V1168,V1258,V571,V399,V1839,V892,V1836,V1325,V26,V830,V1263,V1047,V581,V286,V1115,V1549,V1473,V882,V75,V1111,V1983,V1293,V561,V1511,V513,V780,V897,V1423,V245,V1582,V249,V1406,V493,V1900,V765,V1897,V1892,V964,V1884,V1634,V1635,V1843,V1648,V1042,V14,V66,V67,V824,V822,V391,V739,V1060,V1671,V1674,V1494,V377,V365,V812,V138,V137,V1256,V1772,V1771,V625,V1730,V802,V1153,V111,V267","16.21483029244694,16.481980702021485,20.552580612786823,18.13891405254857,18.96174426377767,16.97333667252756,20.176501778342306,18.669668368071836,19.745846471579263,20.94167538702788,17.70913710335935,20.742837396077235,19.50913713337531,21.26605552292186,21.608417229779587,19.846346533302203,16.589009285959886,21.123178043030784,21.809778642624135,20.775577899536316,20.162445064899522,20.579173886524252,20.102984788929863,17.609068223737715,21.06795041043697,16.942042529174774,18.24356195432229,20.625198008977957,20.30005217444331,18.80257411087172,19.60142838181327,17.911898820878026,17.183628180823252,19.691859848123865,17.929689580285622,18.167629343838065,19.89300077650163,18.90611980704139,19.45241707571947,21.876291368485447,20.24558484744532,16.97128390978095,17.110192668527066,22.195122608507024,21.14085141700794,17.91904368752527,16.639927575691807,18.18695252074546,16.990160276576614,19.398575746235093,17.93741419296739,17.287746462210194,22.22894948731569,19.43973540683486,22.44372559055766,30.378420092426275,27.050623764104447,33.8851879933226,43.41768386916031,27.79161201777249,30.568828073797548,45.401472823052295,27.163864652284488,57.570018109303376,24.430001898450076,29.374458340065754,26.069030718077595,22.54849309365605,26.94911470031695,32.150806397697444,22.9080193593639,51.883896795059925,33.82283306274937,23.39515320227133,31.427892662270185,29.029431008007446,30.66126444950812,23.41384227441345,25.879112551064484,30.738574082354273,26.91170283547652,27.463212583204,26.7070106796413,23.944548346463694,23.077846328434727,31.869706747789028,57.89684170661492,26.38470747640553,27.476381790085785,27.467617272496934,28.186446607971956,22.708928529004844,33.89033369468725,35.27929323851092,41.583642558686,30.511246434212545,23.937389679478954,23.302813477437734,22.444939943227073,26.6873321192323",1.4530751705169678,0.002772258174034857,0.00025189307428175403
0,journal.pone.0246039.s002,62,2000,bSSA,SVM,100,Leave One Out,62,PR-AUC,0.8443941238710069,"V1972,V732,V1411,V1967,V201,V1597,V495,V1387,V419,V1679,V1583,V415,V1770,V1960,V1867,V1421,V989,V411,V992,V49,V994,V1231,V241,V1924,V187,V520,V548,V1244,V1451,V1002,V1247,V1168,V1258,V571,V399,V1839,V892,V1836,V1325,V26,V830,V1263,V1047,V581,V286,V1115,V1549,V1473,V882,V75,V1111,V1983,V1293,V561,V1511,V513,V780,V897,V1423,V245,V1582,V249,V1406,V493,V1900,V765,V1897,V1892,V964,V1884,V1634,V1635,V1843,V1648,V1042,V14,V66,V67,V824,V822,V391,V739,V1060,V1671,V1674,V1494,V377,V365,V812,V138,V137,V1256,V1772,V1771,V625,V1730,V802,V1153,V111,V267","16.21483029244694,16.481980702021485,20.552580612786823,18.13891405254857,18.96174426377767,16.97333667252756,20.176501778342306,18.669668368071836,19.745846471579263,20.94167538702788,17.70913710335935,20.742837396077235,19.50913713337531,21.26605552292186,21.608417229779587,19.846346533302203,16.589009285959886,21.123178043030784,21.809778642624135,20.775577899536316,20.162445064899522,20.579173886524252,20.102984788929863,17.609068223737715,21.06795041043697,16.942042529174774,18.24356195432229,20.625198008977957,20.30005217444331,18.80257411087172,19.60142838181327,17.911898820878026,17.183628180823252,19.691859848123865,17.929689580285622,18.167629343838065,19.89300077650163,18.90611980704139,19.45241707571947,21.876291368485447,20.24558484744532,16.97128390978095,17.110192668527066,22.195122608507024,21.14085141700794,17.91904368752527,16.639927575691807,18.18695252074546,16.990160276576614,19.398575746235093,17.93741419296739,17.287746462210194,22.22894948731569,19.43973540683486,22.44372559055766,30.378420092426275,27.050623764104447,33.8851879933226,43.41768386916031,27.79161201777249,30.568828073797548,45.401472823052295,27.163864652284488,57.570018109303376,24.430001898450076,29.374458340065754,26.069030718077595,22.54849309365605,26.94911470031695,32.150806397697444,22.9080193593639,51.883896795059925,33.82283306274937,23.39515320227133,31.427892662270185,29.029431008007446,30.66126444950812,23.41384227441345,25.879112551064484,30.738574082354273,26.91170283547652,27.463212583204,26.7070106796413,23.944548346463694,23.077846328434727,31.869706747789028,57.89684170661492,26.38470747640553,27.476381790085785,27.467617272496934,28.186446607971956,22.708928529004844,33.89033369468725,35.27929323851092,41.583642558686,30.511246434212545,23.937389679478954,23.302813477437734,22.444939943227073,26.6873321192323",1.4530751705169678,0.002772258174034857,0.00025189307428175403
0,journal.pone.0246039.s002,62,2000,bSSA,SVM,100,Leave One Out,62,AUC,0.8977272727272727,"V1972,V732,V1411,V1967,V201,V1597,V495,V1387,V419,V1679,V1583,V415,V1770,V1960,V1867,V1421,V989,V411,V992,V49,V994,V1231,V241,V1924,V187,V520,V548,V1244,V1451,V1002,V1247,V1168,V1258,V571,V399,V1839,V892,V1836,V1325,V26,V830,V1263,V1047,V581,V286,V1115,V1549,V1473,V882,V75,V1111,V1983,V1293,V561,V1511,V513,V780,V897,V1423,V245,V1582,V249,V1406,V493,V1900,V765,V1897,V1892,V964,V1884,V1634,V1635,V1843,V1648,V1042,V14,V66,V67,V824,V822,V391,V739,V1060,V1671,V1674,V1494,V377,V365,V812,V138,V137,V1256,V1772,V1771,V625,V1730,V802,V1153,V111,V267","16.21483029244694,16.481980702021485,20.552580612786823,18.13891405254857,18.96174426377767,16.97333667252756,20.176501778342306,18.669668368071836,19.745846471579263,20.94167538702788,17.70913710335935,20.742837396077235,19.50913713337531,21.26605552292186,21.608417229779587,19.846346533302203,16.589009285959886,21.123178043030784,21.809778642624135,20.775577899536316,20.162445064899522,20.579173886524252,20.102984788929863,17.609068223737715,21.06795041043697,16.942042529174774,18.24356195432229,20.625198008977957,20.30005217444331,18.80257411087172,19.60142838181327,17.911898820878026,17.183628180823252,19.691859848123865,17.929689580285622,18.167629343838065,19.89300077650163,18.90611980704139,19.45241707571947,21.876291368485447,20.24558484744532,16.97128390978095,17.110192668527066,22.195122608507024,21.14085141700794,17.91904368752527,16.639927575691807,18.18695252074546,16.990160276576614,19.398575746235093,17.93741419296739,17.287746462210194,22.22894948731569,19.43973540683486,22.44372559055766,30.378420092426275,27.050623764104447,33.8851879933226,43.41768386916031,27.79161201777249,30.568828073797548,45.401472823052295,27.163864652284488,57.570018109303376,24.430001898450076,29.374458340065754,26.069030718077595,22.54849309365605,26.94911470031695,32.150806397697444,22.9080193593639,51.883896795059925,33.82283306274937,23.39515320227133,31.427892662270185,29.029431008007446,30.66126444950812,23.41384227441345,25.879112551064484,30.738574082354273,26.91170283547652,27.463212583204,26.7070106796413,23.944548346463694,23.077846328434727,31.869706747789028,57.89684170661492,26.38470747640553,27.476381790085785,27.467617272496934,28.186446607971956,22.708928529004844,33.89033369468725,35.27929323851092,41.583642558686,30.511246434212545,23.937389679478954,23.302813477437734,22.444939943227073,26.6873321192323",1.4530751705169678,0.002772258174034857,0.00025189307428175403
0,journal.pone.0246039.s002,62,2000,bSSA,LogisticsRegression,100,Leave One Out,62,ACC,0.8870967741935484,"V1972,V732,V1411,V1967,V201,V1597,V495,V1387,V419,V1679,V1583,V415,V1770,V1960,V1867,V1421,V989,V411,V992,V49,V994,V1231,V241,V1924,V187,V520,V548,V1244,V1451,V1002,V1247,V1168,V1258,V571,V399,V1839,V892,V1836,V1325,V26,V830,V1263,V1047,V581,V286,V1115,V1549,V1473,V882,V75,V1111,V1983,V1293,V561,V1511,V513,V780,V897,V1423,V245,V1582,V249,V1406,V493,V1900,V765,V1897,V1892,V964,V1884,V1634,V1635,V1843,V1648,V1042,V14,V66,V67,V824,V822,V391,V739,V1060,V1671,V1674,V1494,V377,V365,V812,V138,V137,V1256,V1772,V1771,V625,V1730,V802,V1153,V111,V267","16.21483029244694,16.481980702021485,20.552580612786823,18.13891405254857,18.96174426377767,16.97333667252756,20.176501778342306,18.669668368071836,19.745846471579263,20.94167538702788,17.70913710335935,20.742837396077235,19.50913713337531,21.26605552292186,21.608417229779587,19.846346533302203,16.589009285959886,21.123178043030784,21.809778642624135,20.775577899536316,20.162445064899522,20.579173886524252,20.102984788929863,17.609068223737715,21.06795041043697,16.942042529174774,18.24356195432229,20.625198008977957,20.30005217444331,18.80257411087172,19.60142838181327,17.911898820878026,17.183628180823252,19.691859848123865,17.929689580285622,18.167629343838065,19.89300077650163,18.90611980704139,19.45241707571947,21.876291368485447,20.24558484744532,16.97128390978095,17.110192668527066,22.195122608507024,21.14085141700794,17.91904368752527,16.639927575691807,18.18695252074546,16.990160276576614,19.398575746235093,17.93741419296739,17.287746462210194,22.22894948731569,19.43973540683486,22.44372559055766,30.378420092426275,27.050623764104447,33.8851879933226,43.41768386916031,27.79161201777249,30.568828073797548,45.401472823052295,27.163864652284488,57.570018109303376,24.430001898450076,29.374458340065754,26.069030718077595,22.54849309365605,26.94911470031695,32.150806397697444,22.9080193593639,51.883896795059925,33.82283306274937,23.39515320227133,31.427892662270185,29.029431008007446,30.66126444950812,23.41384227441345,25.879112551064484,30.738574082354273,26.91170283547652,27.463212583204,26.7070106796413,23.944548346463694,23.077846328434727,31.869706747789028,57.89684170661492,26.38470747640553,27.476381790085785,27.467617272496934,28.186446607971956,22.708928529004844,33.89033369468725,35.27929323851092,41.583642558686,30.511246434212545,23.937389679478954,23.302813477437734,22.444939943227073,26.6873321192323",1.4530751705169678,0.010333680337475191,0.0007560560780186807
0,journal.pone.0246039.s002,62,2000,bSSA,LogisticsRegression,100,Leave One Out,62,MCC,0.7563655073999824,"V1972,V732,V1411,V1967,V201,V1597,V495,V1387,V419,V1679,V1583,V415,V1770,V1960,V1867,V1421,V989,V411,V992,V49,V994,V1231,V241,V1924,V187,V520,V548,V1244,V1451,V1002,V1247,V1168,V1258,V571,V399,V1839,V892,V1836,V1325,V26,V830,V1263,V1047,V581,V286,V1115,V1549,V1473,V882,V75,V1111,V1983,V1293,V561,V1511,V513,V780,V897,V1423,V245,V1582,V249,V1406,V493,V1900,V765,V1897,V1892,V964,V1884,V1634,V1635,V1843,V1648,V1042,V14,V66,V67,V824,V822,V391,V739,V1060,V1671,V1674,V1494,V377,V365,V812,V138,V137,V1256,V1772,V1771,V625,V1730,V802,V1153,V111,V267","16.21483029244694,16.481980702021485,20.552580612786823,18.13891405254857,18.96174426377767,16.97333667252756,20.176501778342306,18.669668368071836,19.745846471579263,20.94167538702788,17.70913710335935,20.742837396077235,19.50913713337531,21.26605552292186,21.608417229779587,19.846346533302203,16.589009285959886,21.123178043030784,21.809778642624135,20.775577899536316,20.162445064899522,20.579173886524252,20.102984788929863,17.609068223737715,21.06795041043697,16.942042529174774,18.24356195432229,20.625198008977957,20.30005217444331,18.80257411087172,19.60142838181327,17.911898820878026,17.183628180823252,19.691859848123865,17.929689580285622,18.167629343838065,19.89300077650163,18.90611980704139,19.45241707571947,21.876291368485447,20.24558484744532,16.97128390978095,17.110192668527066,22.195122608507024,21.14085141700794,17.91904368752527,16.639927575691807,18.18695252074546,16.990160276576614,19.398575746235093,17.93741419296739,17.287746462210194,22.22894948731569,19.43973540683486,22.44372559055766,30.378420092426275,27.050623764104447,33.8851879933226,43.41768386916031,27.79161201777249,30.568828073797548,45.401472823052295,27.163864652284488,57.570018109303376,24.430001898450076,29.374458340065754,26.069030718077595,22.54849309365605,26.94911470031695,32.150806397697444,22.9080193593639,51.883896795059925,33.82283306274937,23.39515320227133,31.427892662270185,29.029431008007446,30.66126444950812,23.41384227441345,25.879112551064484,30.738574082354273,26.91170283547652,27.463212583204,26.7070106796413,23.944548346463694,23.077846328434727,31.869706747789028,57.89684170661492,26.38470747640553,27.476381790085785,27.467617272496934,28.186446607971956,22.708928529004844,33.89033369468725,35.27929323851092,41.583642558686,30.511246434212545,23.937389679478954,23.302813477437734,22.444939943227073,26.6873321192323",1.4530751705169678,0.010333680337475191,0.0007560560780186807
