,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning Algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores,Feature Selection time,Fit time,Inference time per record
0,pone.0246039.s001,72,3571,bSSA,NB,100,Leave One Out,72,ACC,0.9722222222222222,"V1620,V3163,V2235,V3130,V3370,V3126,V3117,V110,V3309,V1835,V2828,V1051,V2596,V1214,V1869,V1693,V2260,V219,V2181,V2507,V3466,V3336,V2810,V1245,V3108,V2301,V1890,V2323,V3419,V2136,V672,V1112,V3214,V2116,V3178,V1268,V1000,V1780,V2353,V2936,V3417,V2367,V2065,V3201,V1331,V3398,V510,V3023,V3292,V1946,V490,V894,V78,V2404,V1225,V456,V1356,V3038,V2079,V436,V435,V2911,V2141,V2145,V1249,V626,V918,V1219,V2198,V1205,V2220,V2226,V2230,V3162,V1182,V1104,V2789,V1099,V1093,V1053,V3441,V1749,V1020,V1014,V2449,V1001,V990,V3216,V3218,V979,V2481,V851,V956,V951,V3566,V874,V884,V2546,V1652,V907","38.06358675275658,49.979460637750115,39.73851784017938,50.81860312621352,50.576461599640155,47.234128273125286,41.80676556114463,48.23190047476441,39.371633143742365,42.057455024907824,47.78387803581571,38.67438805764366,47.14373923875462,45.02833546318851,41.01694947415683,50.91501201323612,40.1838851874608,42.900111481946176,51.11327182202009,51.4141982335155,45.852838375985925,49.58726762803581,41.16405479564154,42.16400357320275,46.75925763007458,50.404931620914134,47.570550022442,39.88221363729929,39.87754805962544,48.97397953859253,48.888421932875886,46.799969109873075,45.32908854514843,52.264177162607936,46.58928871845683,44.32369299168073,51.869861651083426,45.09591307656425,38.36330594372669,42.62633030623213,38.882478523839005,41.50142682984278,45.87757311924382,46.80821699578265,43.80280750900658,38.16129659921619,44.183297164850906,48.99224476893906,40.150367135842714,41.8488827677858,39.971078231091,42.098313517968236,40.48760978317857,48.167165089520616,52.45657540787613,109.03591043008352,69.75976399135942,103.85170048711163,70.76033562942412,107.12365268198106,63.77621603978289,56.39461271516888,69.0832402187877,59.35406952706676,60.914443223530114,86.06708950889977,62.68667833678521,93.46596058673136,80.55064669530681,53.40005834321113,69.51658843872383,64.15999938875585,77.95830332056877,71.89788471402505,187.74569720834762,61.12578491096784,79.60562702718339,91.95487917049516,56.95289760430991,78.20410554969041,128.0715213960442,53.38912492235385,60.90673253152121,59.69544943005242,56.31179833095788,53.62713357942813,55.07389529374539,76.18843845461046,56.45160262012317,134.79690010327437,131.96973966044422,59.498943035837456,150.5167300945678,61.77775361597963,52.86282014101192,105.28895005361491,52.73733519476687,57.99037802108107,224.64616027080476,80.57627922532618",1.5312962532043457,0.0019529925452338324,0.00043409400516086153
0,pone.0246039.s001,72,3571,bSSA,NB,100,Leave One Out,72,MCC,0.9387234042553192,"V1620,V3163,V2235,V3130,V3370,V3126,V3117,V110,V3309,V1835,V2828,V1051,V2596,V1214,V1869,V1693,V2260,V219,V2181,V2507,V3466,V3336,V2810,V1245,V3108,V2301,V1890,V2323,V3419,V2136,V672,V1112,V3214,V2116,V3178,V1268,V1000,V1780,V2353,V2936,V3417,V2367,V2065,V3201,V1331,V3398,V510,V3023,V3292,V1946,V490,V894,V78,V2404,V1225,V456,V1356,V3038,V2079,V436,V435,V2911,V2141,V2145,V1249,V626,V918,V1219,V2198,V1205,V2220,V2226,V2230,V3162,V1182,V1104,V2789,V1099,V1093,V1053,V3441,V1749,V1020,V1014,V2449,V1001,V990,V3216,V3218,V979,V2481,V851,V956,V951,V3566,V874,V884,V2546,V1652,V907","38.06358675275658,49.979460637750115,39.73851784017938,50.81860312621352,50.576461599640155,47.234128273125286,41.80676556114463,48.23190047476441,39.371633143742365,42.057455024907824,47.78387803581571,38.67438805764366,47.14373923875462,45.02833546318851,41.01694947415683,50.91501201323612,40.1838851874608,42.900111481946176,51.11327182202009,51.4141982335155,45.852838375985925,49.58726762803581,41.16405479564154,42.16400357320275,46.75925763007458,50.404931620914134,47.570550022442,39.88221363729929,39.87754805962544,48.97397953859253,48.888421932875886,46.799969109873075,45.32908854514843,52.264177162607936,46.58928871845683,44.32369299168073,51.869861651083426,45.09591307656425,38.36330594372669,42.62633030623213,38.882478523839005,41.50142682984278,45.87757311924382,46.80821699578265,43.80280750900658,38.16129659921619,44.183297164850906,48.99224476893906,40.150367135842714,41.8488827677858,39.971078231091,42.098313517968236,40.48760978317857,48.167165089520616,52.45657540787613,109.03591043008352,69.75976399135942,103.85170048711163,70.76033562942412,107.12365268198106,63.77621603978289,56.39461271516888,69.0832402187877,59.35406952706676,60.914443223530114,86.06708950889977,62.68667833678521,93.46596058673136,80.55064669530681,53.40005834321113,69.51658843872383,64.15999938875585,77.95830332056877,71.89788471402505,187.74569720834762,61.12578491096784,79.60562702718339,91.95487917049516,56.95289760430991,78.20410554969041,128.0715213960442,53.38912492235385,60.90673253152121,59.69544943005242,56.31179833095788,53.62713357942813,55.07389529374539,76.18843845461046,56.45160262012317,134.79690010327437,131.96973966044422,59.498943035837456,150.5167300945678,61.77775361597963,52.86282014101192,105.28895005361491,52.73733519476687,57.99037802108107,224.64616027080476,80.57627922532618",1.5312962532043457,0.0019529925452338324,0.00043409400516086153
0,pone.0246039.s001,72,3571,bSSA,NB,100,Leave One Out,72,PR-AUC,0.9980705405496035,"V1620,V3163,V2235,V3130,V3370,V3126,V3117,V110,V3309,V1835,V2828,V1051,V2596,V1214,V1869,V1693,V2260,V219,V2181,V2507,V3466,V3336,V2810,V1245,V3108,V2301,V1890,V2323,V3419,V2136,V672,V1112,V3214,V2116,V3178,V1268,V1000,V1780,V2353,V2936,V3417,V2367,V2065,V3201,V1331,V3398,V510,V3023,V3292,V1946,V490,V894,V78,V2404,V1225,V456,V1356,V3038,V2079,V436,V435,V2911,V2141,V2145,V1249,V626,V918,V1219,V2198,V1205,V2220,V2226,V2230,V3162,V1182,V1104,V2789,V1099,V1093,V1053,V3441,V1749,V1020,V1014,V2449,V1001,V990,V3216,V3218,V979,V2481,V851,V956,V951,V3566,V874,V884,V2546,V1652,V907","38.06358675275658,49.979460637750115,39.73851784017938,50.81860312621352,50.576461599640155,47.234128273125286,41.80676556114463,48.23190047476441,39.371633143742365,42.057455024907824,47.78387803581571,38.67438805764366,47.14373923875462,45.02833546318851,41.01694947415683,50.91501201323612,40.1838851874608,42.900111481946176,51.11327182202009,51.4141982335155,45.852838375985925,49.58726762803581,41.16405479564154,42.16400357320275,46.75925763007458,50.404931620914134,47.570550022442,39.88221363729929,39.87754805962544,48.97397953859253,48.888421932875886,46.799969109873075,45.32908854514843,52.264177162607936,46.58928871845683,44.32369299168073,51.869861651083426,45.09591307656425,38.36330594372669,42.62633030623213,38.882478523839005,41.50142682984278,45.87757311924382,46.80821699578265,43.80280750900658,38.16129659921619,44.183297164850906,48.99224476893906,40.150367135842714,41.8488827677858,39.971078231091,42.098313517968236,40.48760978317857,48.167165089520616,52.45657540787613,109.03591043008352,69.75976399135942,103.85170048711163,70.76033562942412,107.12365268198106,63.77621603978289,56.39461271516888,69.0832402187877,59.35406952706676,60.914443223530114,86.06708950889977,62.68667833678521,93.46596058673136,80.55064669530681,53.40005834321113,69.51658843872383,64.15999938875585,77.95830332056877,71.89788471402505,187.74569720834762,61.12578491096784,79.60562702718339,91.95487917049516,56.95289760430991,78.20410554969041,128.0715213960442,53.38912492235385,60.90673253152121,59.69544943005242,56.31179833095788,53.62713357942813,55.07389529374539,76.18843845461046,56.45160262012317,134.79690010327437,131.96973966044422,59.498943035837456,150.5167300945678,61.77775361597963,52.86282014101192,105.28895005361491,52.73733519476687,57.99037802108107,224.64616027080476,80.57627922532618",1.5312962532043457,0.0019529925452338324,0.00043409400516086153
0,pone.0246039.s001,72,3571,bSSA,NB,100,Leave One Out,72,AUC,0.9982978723404254,"V1620,V3163,V2235,V3130,V3370,V3126,V3117,V110,V3309,V1835,V2828,V1051,V2596,V1214,V1869,V1693,V2260,V219,V2181,V2507,V3466,V3336,V2810,V1245,V3108,V2301,V1890,V2323,V3419,V2136,V672,V1112,V3214,V2116,V3178,V1268,V1000,V1780,V2353,V2936,V3417,V2367,V2065,V3201,V1331,V3398,V510,V3023,V3292,V1946,V490,V894,V78,V2404,V1225,V456,V1356,V3038,V2079,V436,V435,V2911,V2141,V2145,V1249,V626,V918,V1219,V2198,V1205,V2220,V2226,V2230,V3162,V1182,V1104,V2789,V1099,V1093,V1053,V3441,V1749,V1020,V1014,V2449,V1001,V990,V3216,V3218,V979,V2481,V851,V956,V951,V3566,V874,V884,V2546,V1652,V907","38.06358675275658,49.979460637750115,39.73851784017938,50.81860312621352,50.576461599640155,47.234128273125286,41.80676556114463,48.23190047476441,39.371633143742365,42.057455024907824,47.78387803581571,38.67438805764366,47.14373923875462,45.02833546318851,41.01694947415683,50.91501201323612,40.1838851874608,42.900111481946176,51.11327182202009,51.4141982335155,45.852838375985925,49.58726762803581,41.16405479564154,42.16400357320275,46.75925763007458,50.404931620914134,47.570550022442,39.88221363729929,39.87754805962544,48.97397953859253,48.888421932875886,46.799969109873075,45.32908854514843,52.264177162607936,46.58928871845683,44.32369299168073,51.869861651083426,45.09591307656425,38.36330594372669,42.62633030623213,38.882478523839005,41.50142682984278,45.87757311924382,46.80821699578265,43.80280750900658,38.16129659921619,44.183297164850906,48.99224476893906,40.150367135842714,41.8488827677858,39.971078231091,42.098313517968236,40.48760978317857,48.167165089520616,52.45657540787613,109.03591043008352,69.75976399135942,103.85170048711163,70.76033562942412,107.12365268198106,63.77621603978289,56.39461271516888,69.0832402187877,59.35406952706676,60.914443223530114,86.06708950889977,62.68667833678521,93.46596058673136,80.55064669530681,53.40005834321113,69.51658843872383,64.15999938875585,77.95830332056877,71.89788471402505,187.74569720834762,61.12578491096784,79.60562702718339,91.95487917049516,56.95289760430991,78.20410554969041,128.0715213960442,53.38912492235385,60.90673253152121,59.69544943005242,56.31179833095788,53.62713357942813,55.07389529374539,76.18843845461046,56.45160262012317,134.79690010327437,131.96973966044422,59.498943035837456,150.5167300945678,61.77775361597963,52.86282014101192,105.28895005361491,52.73733519476687,57.99037802108107,224.64616027080476,80.57627922532618",1.5312962532043457,0.0019529925452338324,0.00043409400516086153
0,pone.0246039.s001,72,3571,bSSA,SVM,100,Leave One Out,72,ACC,0.9861111111111112,"V1620,V3163,V2235,V3130,V3370,V3126,V3117,V110,V3309,V1835,V2828,V1051,V2596,V1214,V1869,V1693,V2260,V219,V2181,V2507,V3466,V3336,V2810,V1245,V3108,V2301,V1890,V2323,V3419,V2136,V672,V1112,V3214,V2116,V3178,V1268,V1000,V1780,V2353,V2936,V3417,V2367,V2065,V3201,V1331,V3398,V510,V3023,V3292,V1946,V490,V894,V78,V2404,V1225,V456,V1356,V3038,V2079,V436,V435,V2911,V2141,V2145,V1249,V626,V918,V1219,V2198,V1205,V2220,V2226,V2230,V3162,V1182,V1104,V2789,V1099,V1093,V1053,V3441,V1749,V1020,V1014,V2449,V1001,V990,V3216,V3218,V979,V2481,V851,V956,V951,V3566,V874,V884,V2546,V1652,V907","38.06358675275658,49.979460637750115,39.73851784017938,50.81860312621352,50.576461599640155,47.234128273125286,41.80676556114463,48.23190047476441,39.371633143742365,42.057455024907824,47.78387803581571,38.67438805764366,47.14373923875462,45.02833546318851,41.01694947415683,50.91501201323612,40.1838851874608,42.900111481946176,51.11327182202009,51.4141982335155,45.852838375985925,49.58726762803581,41.16405479564154,42.16400357320275,46.75925763007458,50.404931620914134,47.570550022442,39.88221363729929,39.87754805962544,48.97397953859253,48.888421932875886,46.799969109873075,45.32908854514843,52.264177162607936,46.58928871845683,44.32369299168073,51.869861651083426,45.09591307656425,38.36330594372669,42.62633030623213,38.882478523839005,41.50142682984278,45.87757311924382,46.80821699578265,43.80280750900658,38.16129659921619,44.183297164850906,48.99224476893906,40.150367135842714,41.8488827677858,39.971078231091,42.098313517968236,40.48760978317857,48.167165089520616,52.45657540787613,109.03591043008352,69.75976399135942,103.85170048711163,70.76033562942412,107.12365268198106,63.77621603978289,56.39461271516888,69.0832402187877,59.35406952706676,60.914443223530114,86.06708950889977,62.68667833678521,93.46596058673136,80.55064669530681,53.40005834321113,69.51658843872383,64.15999938875585,77.95830332056877,71.89788471402505,187.74569720834762,61.12578491096784,79.60562702718339,91.95487917049516,56.95289760430991,78.20410554969041,128.0715213960442,53.38912492235385,60.90673253152121,59.69544943005242,56.31179833095788,53.62713357942813,55.07389529374539,76.18843845461046,56.45160262012317,134.79690010327437,131.96973966044422,59.498943035837456,150.5167300945678,61.77775361597963,52.86282014101192,105.28895005361491,52.73733519476687,57.99037802108107,224.64616027080476,80.57627922532618",1.5312962532043457,0.003037691116333008,0.0
0,pone.0246039.s001,72,3571,bSSA,SVM,100,Leave One Out,72,MCC,0.9695359714832659,"V1620,V3163,V2235,V3130,V3370,V3126,V3117,V110,V3309,V1835,V2828,V1051,V2596,V1214,V1869,V1693,V2260,V219,V2181,V2507,V3466,V3336,V2810,V1245,V3108,V2301,V1890,V2323,V3419,V2136,V672,V1112,V3214,V2116,V3178,V1268,V1000,V1780,V2353,V2936,V3417,V2367,V2065,V3201,V1331,V3398,V510,V3023,V3292,V1946,V490,V894,V78,V2404,V1225,V456,V1356,V3038,V2079,V436,V435,V2911,V2141,V2145,V1249,V626,V918,V1219,V2198,V1205,V2220,V2226,V2230,V3162,V1182,V1104,V2789,V1099,V1093,V1053,V3441,V1749,V1020,V1014,V2449,V1001,V990,V3216,V3218,V979,V2481,V851,V956,V951,V3566,V874,V884,V2546,V1652,V907","38.06358675275658,49.979460637750115,39.73851784017938,50.81860312621352,50.576461599640155,47.234128273125286,41.80676556114463,48.23190047476441,39.371633143742365,42.057455024907824,47.78387803581571,38.67438805764366,47.14373923875462,45.02833546318851,41.01694947415683,50.91501201323612,40.1838851874608,42.900111481946176,51.11327182202009,51.4141982335155,45.852838375985925,49.58726762803581,41.16405479564154,42.16400357320275,46.75925763007458,50.404931620914134,47.570550022442,39.88221363729929,39.87754805962544,48.97397953859253,48.888421932875886,46.799969109873075,45.32908854514843,52.264177162607936,46.58928871845683,44.32369299168073,51.869861651083426,45.09591307656425,38.36330594372669,42.62633030623213,38.882478523839005,41.50142682984278,45.87757311924382,46.80821699578265,43.80280750900658,38.16129659921619,44.183297164850906,48.99224476893906,40.150367135842714,41.8488827677858,39.971078231091,42.098313517968236,40.48760978317857,48.167165089520616,52.45657540787613,109.03591043008352,69.75976399135942,103.85170048711163,70.76033562942412,107.12365268198106,63.77621603978289,56.39461271516888,69.0832402187877,59.35406952706676,60.914443223530114,86.06708950889977,62.68667833678521,93.46596058673136,80.55064669530681,53.40005834321113,69.51658843872383,64.15999938875585,77.95830332056877,71.89788471402505,187.74569720834762,61.12578491096784,79.60562702718339,91.95487917049516,56.95289760430991,78.20410554969041,128.0715213960442,53.38912492235385,60.90673253152121,59.69544943005242,56.31179833095788,53.62713357942813,55.07389529374539,76.18843845461046,56.45160262012317,134.79690010327437,131.96973966044422,59.498943035837456,150.5167300945678,61.77775361597963,52.86282014101192,105.28895005361491,52.73733519476687,57.99037802108107,224.64616027080476,80.57627922532618",1.5312962532043457,0.003037691116333008,0.0
0,pone.0246039.s001,72,3571,bSSA,SVM,100,Leave One Out,72,PR-AUC,0.9980705405496035,"V1620,V3163,V2235,V3130,V3370,V3126,V3117,V110,V3309,V1835,V2828,V1051,V2596,V1214,V1869,V1693,V2260,V219,V2181,V2507,V3466,V3336,V2810,V1245,V3108,V2301,V1890,V2323,V3419,V2136,V672,V1112,V3214,V2116,V3178,V1268,V1000,V1780,V2353,V2936,V3417,V2367,V2065,V3201,V1331,V3398,V510,V3023,V3292,V1946,V490,V894,V78,V2404,V1225,V456,V1356,V3038,V2079,V436,V435,V2911,V2141,V2145,V1249,V626,V918,V1219,V2198,V1205,V2220,V2226,V2230,V3162,V1182,V1104,V2789,V1099,V1093,V1053,V3441,V1749,V1020,V1014,V2449,V1001,V990,V3216,V3218,V979,V2481,V851,V956,V951,V3566,V874,V884,V2546,V1652,V907","38.06358675275658,49.979460637750115,39.73851784017938,50.81860312621352,50.576461599640155,47.234128273125286,41.80676556114463,48.23190047476441,39.371633143742365,42.057455024907824,47.78387803581571,38.67438805764366,47.14373923875462,45.02833546318851,41.01694947415683,50.91501201323612,40.1838851874608,42.900111481946176,51.11327182202009,51.4141982335155,45.852838375985925,49.58726762803581,41.16405479564154,42.16400357320275,46.75925763007458,50.404931620914134,47.570550022442,39.88221363729929,39.87754805962544,48.97397953859253,48.888421932875886,46.799969109873075,45.32908854514843,52.264177162607936,46.58928871845683,44.32369299168073,51.869861651083426,45.09591307656425,38.36330594372669,42.62633030623213,38.882478523839005,41.50142682984278,45.87757311924382,46.80821699578265,43.80280750900658,38.16129659921619,44.183297164850906,48.99224476893906,40.150367135842714,41.8488827677858,39.971078231091,42.098313517968236,40.48760978317857,48.167165089520616,52.45657540787613,109.03591043008352,69.75976399135942,103.85170048711163,70.76033562942412,107.12365268198106,63.77621603978289,56.39461271516888,69.0832402187877,59.35406952706676,60.914443223530114,86.06708950889977,62.68667833678521,93.46596058673136,80.55064669530681,53.40005834321113,69.51658843872383,64.15999938875585,77.95830332056877,71.89788471402505,187.74569720834762,61.12578491096784,79.60562702718339,91.95487917049516,56.95289760430991,78.20410554969041,128.0715213960442,53.38912492235385,60.90673253152121,59.69544943005242,56.31179833095788,53.62713357942813,55.07389529374539,76.18843845461046,56.45160262012317,134.79690010327437,131.96973966044422,59.498943035837456,150.5167300945678,61.77775361597963,52.86282014101192,105.28895005361491,52.73733519476687,57.99037802108107,224.64616027080476,80.57627922532618",1.5312962532043457,0.003037691116333008,0.0
0,pone.0246039.s001,72,3571,bSSA,SVM,100,Leave One Out,72,AUC,0.9982978723404254,"V1620,V3163,V2235,V3130,V3370,V3126,V3117,V110,V3309,V1835,V2828,V1051,V2596,V1214,V1869,V1693,V2260,V219,V2181,V2507,V3466,V3336,V2810,V1245,V3108,V2301,V1890,V2323,V3419,V2136,V672,V1112,V3214,V2116,V3178,V1268,V1000,V1780,V2353,V2936,V3417,V2367,V2065,V3201,V1331,V3398,V510,V3023,V3292,V1946,V490,V894,V78,V2404,V1225,V456,V1356,V3038,V2079,V436,V435,V2911,V2141,V2145,V1249,V626,V918,V1219,V2198,V1205,V2220,V2226,V2230,V3162,V1182,V1104,V2789,V1099,V1093,V1053,V3441,V1749,V1020,V1014,V2449,V1001,V990,V3216,V3218,V979,V2481,V851,V956,V951,V3566,V874,V884,V2546,V1652,V907","38.06358675275658,49.979460637750115,39.73851784017938,50.81860312621352,50.576461599640155,47.234128273125286,41.80676556114463,48.23190047476441,39.371633143742365,42.057455024907824,47.78387803581571,38.67438805764366,47.14373923875462,45.02833546318851,41.01694947415683,50.91501201323612,40.1838851874608,42.900111481946176,51.11327182202009,51.4141982335155,45.852838375985925,49.58726762803581,41.16405479564154,42.16400357320275,46.75925763007458,50.404931620914134,47.570550022442,39.88221363729929,39.87754805962544,48.97397953859253,48.888421932875886,46.799969109873075,45.32908854514843,52.264177162607936,46.58928871845683,44.32369299168073,51.869861651083426,45.09591307656425,38.36330594372669,42.62633030623213,38.882478523839005,41.50142682984278,45.87757311924382,46.80821699578265,43.80280750900658,38.16129659921619,44.183297164850906,48.99224476893906,40.150367135842714,41.8488827677858,39.971078231091,42.098313517968236,40.48760978317857,48.167165089520616,52.45657540787613,109.03591043008352,69.75976399135942,103.85170048711163,70.76033562942412,107.12365268198106,63.77621603978289,56.39461271516888,69.0832402187877,59.35406952706676,60.914443223530114,86.06708950889977,62.68667833678521,93.46596058673136,80.55064669530681,53.40005834321113,69.51658843872383,64.15999938875585,77.95830332056877,71.89788471402505,187.74569720834762,61.12578491096784,79.60562702718339,91.95487917049516,56.95289760430991,78.20410554969041,128.0715213960442,53.38912492235385,60.90673253152121,59.69544943005242,56.31179833095788,53.62713357942813,55.07389529374539,76.18843845461046,56.45160262012317,134.79690010327437,131.96973966044422,59.498943035837456,150.5167300945678,61.77775361597963,52.86282014101192,105.28895005361491,52.73733519476687,57.99037802108107,224.64616027080476,80.57627922532618",1.5312962532043457,0.003037691116333008,0.0
0,pone.0246039.s001,72,3571,bSSA,LogisticsRegression,100,Leave One Out,72,ACC,0.9861111111111112,"V1620,V3163,V2235,V3130,V3370,V3126,V3117,V110,V3309,V1835,V2828,V1051,V2596,V1214,V1869,V1693,V2260,V219,V2181,V2507,V3466,V3336,V2810,V1245,V3108,V2301,V1890,V2323,V3419,V2136,V672,V1112,V3214,V2116,V3178,V1268,V1000,V1780,V2353,V2936,V3417,V2367,V2065,V3201,V1331,V3398,V510,V3023,V3292,V1946,V490,V894,V78,V2404,V1225,V456,V1356,V3038,V2079,V436,V435,V2911,V2141,V2145,V1249,V626,V918,V1219,V2198,V1205,V2220,V2226,V2230,V3162,V1182,V1104,V2789,V1099,V1093,V1053,V3441,V1749,V1020,V1014,V2449,V1001,V990,V3216,V3218,V979,V2481,V851,V956,V951,V3566,V874,V884,V2546,V1652,V907","38.06358675275658,49.979460637750115,39.73851784017938,50.81860312621352,50.576461599640155,47.234128273125286,41.80676556114463,48.23190047476441,39.371633143742365,42.057455024907824,47.78387803581571,38.67438805764366,47.14373923875462,45.02833546318851,41.01694947415683,50.91501201323612,40.1838851874608,42.900111481946176,51.11327182202009,51.4141982335155,45.852838375985925,49.58726762803581,41.16405479564154,42.16400357320275,46.75925763007458,50.404931620914134,47.570550022442,39.88221363729929,39.87754805962544,48.97397953859253,48.888421932875886,46.799969109873075,45.32908854514843,52.264177162607936,46.58928871845683,44.32369299168073,51.869861651083426,45.09591307656425,38.36330594372669,42.62633030623213,38.882478523839005,41.50142682984278,45.87757311924382,46.80821699578265,43.80280750900658,38.16129659921619,44.183297164850906,48.99224476893906,40.150367135842714,41.8488827677858,39.971078231091,42.098313517968236,40.48760978317857,48.167165089520616,52.45657540787613,109.03591043008352,69.75976399135942,103.85170048711163,70.76033562942412,107.12365268198106,63.77621603978289,56.39461271516888,69.0832402187877,59.35406952706676,60.914443223530114,86.06708950889977,62.68667833678521,93.46596058673136,80.55064669530681,53.40005834321113,69.51658843872383,64.15999938875585,77.95830332056877,71.89788471402505,187.74569720834762,61.12578491096784,79.60562702718339,91.95487917049516,56.95289760430991,78.20410554969041,128.0715213960442,53.38912492235385,60.90673253152121,59.69544943005242,56.31179833095788,53.62713357942813,55.07389529374539,76.18843845461046,56.45160262012317,134.79690010327437,131.96973966044422,59.498943035837456,150.5167300945678,61.77775361597963,52.86282014101192,105.28895005361491,52.73733519476687,57.99037802108107,224.64616027080476,80.57627922532618",1.5312962532043457,0.006509986188676622,0.00021750066015455459
0,pone.0246039.s001,72,3571,bSSA,LogisticsRegression,100,Leave One Out,72,MCC,0.9695359714832659,"V1620,V3163,V2235,V3130,V3370,V3126,V3117,V110,V3309,V1835,V2828,V1051,V2596,V1214,V1869,V1693,V2260,V219,V2181,V2507,V3466,V3336,V2810,V1245,V3108,V2301,V1890,V2323,V3419,V2136,V672,V1112,V3214,V2116,V3178,V1268,V1000,V1780,V2353,V2936,V3417,V2367,V2065,V3201,V1331,V3398,V510,V3023,V3292,V1946,V490,V894,V78,V2404,V1225,V456,V1356,V3038,V2079,V436,V435,V2911,V2141,V2145,V1249,V626,V918,V1219,V2198,V1205,V2220,V2226,V2230,V3162,V1182,V1104,V2789,V1099,V1093,V1053,V3441,V1749,V1020,V1014,V2449,V1001,V990,V3216,V3218,V979,V2481,V851,V956,V951,V3566,V874,V884,V2546,V1652,V907","38.06358675275658,49.979460637750115,39.73851784017938,50.81860312621352,50.576461599640155,47.234128273125286,41.80676556114463,48.23190047476441,39.371633143742365,42.057455024907824,47.78387803581571,38.67438805764366,47.14373923875462,45.02833546318851,41.01694947415683,50.91501201323612,40.1838851874608,42.900111481946176,51.11327182202009,51.4141982335155,45.852838375985925,49.58726762803581,41.16405479564154,42.16400357320275,46.75925763007458,50.404931620914134,47.570550022442,39.88221363729929,39.87754805962544,48.97397953859253,48.888421932875886,46.799969109873075,45.32908854514843,52.264177162607936,46.58928871845683,44.32369299168073,51.869861651083426,45.09591307656425,38.36330594372669,42.62633030623213,38.882478523839005,41.50142682984278,45.87757311924382,46.80821699578265,43.80280750900658,38.16129659921619,44.183297164850906,48.99224476893906,40.150367135842714,41.8488827677858,39.971078231091,42.098313517968236,40.48760978317857,48.167165089520616,52.45657540787613,109.03591043008352,69.75976399135942,103.85170048711163,70.76033562942412,107.12365268198106,63.77621603978289,56.39461271516888,69.0832402187877,59.35406952706676,60.914443223530114,86.06708950889977,62.68667833678521,93.46596058673136,80.55064669530681,53.40005834321113,69.51658843872383,64.15999938875585,77.95830332056877,71.89788471402505,187.74569720834762,61.12578491096784,79.60562702718339,91.95487917049516,56.95289760430991,78.20410554969041,128.0715213960442,53.38912492235385,60.90673253152121,59.69544943005242,56.31179833095788,53.62713357942813,55.07389529374539,76.18843845461046,56.45160262012317,134.79690010327437,131.96973966044422,59.498943035837456,150.5167300945678,61.77775361597963,52.86282014101192,105.28895005361491,52.73733519476687,57.99037802108107,224.64616027080476,80.57627922532618",1.5312962532043457,0.006509986188676622,0.00021750066015455459
